Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
waveform,instance,0.3,pc,anticausal,
waveform,instance,0.3,ges,causal,
waveform,instance,0.3,gies,causal,
waveform,instance,0.3,lingam,unkown,
waveform,pair,0.3,pc,anticausal,
waveform,pair,0.3,ges,causal,
waveform,pair,0.3,gies,causal,
waveform,pair,0.3,lingam,unkown,
waveform,sym,0.3,pc,anticausal,
waveform,sym,0.3,ges,causal,
waveform,sym,0.3,gies,causal,
waveform,sym,0.3,lingam,unkown,
secstr,instance,0.1,pc,anticausal,
secstr,instance,0.1,ges,anticausal,
secstr,instance,0.1,gies,anticausal,
secstr,instance,0.1,lingam,unkown,
secstr,pair,0.1,pc,anticausal,
secstr,pair,0.1,ges,anticausal,
secstr,pair,0.1,gies,anticausal,
secstr,pair,0.1,lingam,unkown,
secstr,sym,0.1,pc,anticausal,
secstr,sym,0.1,ges,anticausal,
secstr,sym,0.1,gies,anticausal,
secstr,sym,0.1,lingam,unkown,
secstr,instance,0.3,pc,anticausal,
secstr,instance,0.3,ges,causal,
secstr,instance,0.3,gies,causal,
secstr,instance,0.3,lingam,unkown,
secstr,pair,0.3,pc,anticausal,
secstr,pair,0.3,ges,anticausal,
secstr,pair,0.3,gies,anticausal,
secstr,pair,0.3,lingam,unkown,
secstr,sym,0.3,pc,anticausal,
secstr,sym,0.3,ges,anticausal,
secstr,sym,0.3,gies,anticausal,
secstr,sym,0.3,lingam,unkown,
letter,instance,0.1,pc,anticausal,
letter,instance,0.1,ges,anticausal,
letter,instance,0.1,gies,anticausal,
letter,instance,0.1,lingam,unkown,
letter,pair,0.1,pc,anticausal,
letter,pair,0.1,ges,anticausal,
letter,pair,0.1,gies,anticausal,
letter,pair,0.1,lingam,unkown,
letter,sym,0.1,pc,anticausal,
letter,sym,0.1,ges,anticausal,
letter,sym,0.1,gies,anticausal,
letter,sym,0.1,lingam,unkown,
letter,instance,0.3,pc,anticausal,
letter,instance,0.3,ges,anticausal,
letter,instance,0.3,gies,anticausal,
letter,instance,0.3,lingam,unkown,
letter,pair,0.3,pc,anticausal,
letter,pair,0.3,ges,anticausal,
letter,pair,0.3,gies,anticausal,
letter,pair,0.3,lingam,unkown,
letter,sym,0.3,pc,anticausal,
letter,sym,0.3,ges,anticausal,
letter,sym,0.3,gies,anticausal,
letter,sym,0.3,lingam,unkown,
segment,instance,0.1,pc,anticausal,
segment,instance,0.1,ges,anticausal,
segment,instance,0.1,gies,anticausal,
segment,pair,0.1,pc,anticausal,
segment,pair,0.1,ges,anticausal,
segment,pair,0.1,gies,anticausal,
segment,sym,0.1,pc,anticausal,
segment,sym,0.1,ges,anticausal,
segment,sym,0.1,gies,anticausal,
segment,instance,0.3,pc,anticausal,
segment,instance,0.3,ges,anticausal,
segment,instance,0.3,gies,anticausal,
segment,pair,0.3,pc,anticausal,
segment,pair,0.3,ges,anticausal,
segment,pair,0.3,gies,anticausal,
segment,sym,0.3,pc,anticausal,
segment,sym,0.3,ges,anticausal,
segment,sym,0.3,gies,anticausal,
g241c,instance,0.1,pc,anticausal,
g241c,instance,0.1,ges,anticausal,
g241c,instance,0.1,gies,anticausal,
g241c,instance,0.1,lingam,unkown,
g241c,pair,0.1,pc,anticausal,
g241c,pair,0.1,ges,anticausal,
g241c,pair,0.1,gies,anticausal,
g241c,pair,0.1,lingam,unkown,
g241c,sym,0.1,pc,anticausal,
g241c,sym,0.1,ges,causal,
g241c,sym,0.1,gies,causal,
g241c,sym,0.1,lingam,unkown,
g241c,instance,0.3,pc,anticausal,
g241c,instance,0.3,ges,anticausal,
g241c,instance,0.3,gies,anticausal,
g241c,instance,0.3,lingam,unkown,
g241c,pair,0.3,pc,anticausal,
g241c,pair,0.3,ges,anticausal,
g241c,pair,0.3,gies,anticausal,
g241c,pair,0.3,lingam,unkown,
g241c,sym,0.3,pc,anticausal,
g241c,sym,0.3,ges,causal,
g241c,sym,0.3,gies,causal,
iris,pair,0.02,pc,anticausal,
pair0047,pair,0.02,pc,anticausal,
pair0070,pair,0.02,pc,anticausal,
pair0070,pair,0.02,pc,anticausal,
pair0071,pair,0.02,pc,anticausal,
iris,pair,0.02,score,unkown,
iris,pair,0.02,score,unkown,
splice,instance,0.1,fci,anticausal,0:01:04.506178
splice,instance,0.1,icd,anticausal,0:00:44.027119
splice,pair,0.1,fci,anticausal,0:00:40.633673
splice,pair,0.1,icd,anticausal,0:00:43.216878
splice,sym,0.1,fci,anticausal,0:00:55.741337
splice,sym,0.1,icd,anticausal,1:35:55.584023
splice,instance,0.2,fci,anticausal,0:00:41.093883
splice,instance,0.2,icd,anticausal,0:00:05.673935
splice,pair,0.2,fci,anticausal,0:00:40.316590
splice,pair,0.2,icd,anticausal,0:00:38.316092
splice,sym,0.2,fci,anticausal,0:00:38.150884
splice,sym,0.2,icd,anticausal,0:00:05.442259
splice,instance,0.3,fci,anticausal,0:00:38.404231
splice,instance,0.3,icd,anticausal,0:00:05.594091
splice,pair,0.3,fci,anticausal,0:00:40.329241
splice,pair,0.3,icd,anticausal,0:00:39.080140
splice,sym,0.3,fci,anticausal,0:00:38.910473
splice,sym,0.3,icd,anticausal,0:00:05.524122
wdbc,instance,0.1,icd,anticausal,0:05:44.360782
wdbc,instance,0.1,ccdr,causal,0:00:03.841446
wdbc,instance,0.1,fci,anticausal,0:00:12.053924
wdbc,instance,0.1,icd,anticausal,0:05:40.295275
wdbc,pair,0.1,fci,anticausal,0:00:11.292618
wdbc,pair,0.1,icd,anticausal,0:05:43.147062
wdbc,sym,0.1,fci,anticausal,0:00:11.505537
wdbc,sym,0.1,icd,anticausal,0:05:40.689941
wdbc,instance,0.2,fci,unkown,0:00:12.452061
wdbc,instance,0.2,icd,anticausal,0:05:32.231764
wdbc,pair,0.2,fci,unkown,0:00:12.543976
wdbc,pair,0.2,icd,anticausal,0:05:30.496622
wdbc,sym,0.2,fci,unkown,0:00:11.636479
wdbc,sym,0.2,icd,anticausal,0:05:31.940156
wdbc,instance,0.3,fci,unkown,0:00:12.892998
wdbc,instance,0.3,icd,unkown,0:04:51.522112
wdbc,pair,0.3,fci,unkown,0:00:11.946258
wdbc,pair,0.3,icd,anticausal,0:05:26.610546
wdbc,sym,0.3,fci,unkown,0:00:11.559938
wdbc,sym,0.3,icd,anticausal,0:05:30.989452
xyguassian,instance,0.01,fci,anticausal,0:00:00.029639
xyguassian,instance,0.01,fci,anticausal,0:00:00.030053
xyguassian,instance,0.01,icd,anticausal,0:00:00.046650
xyguassian,instance,0.01,rai,causal,0:00:01.270737
xyguassian,instance,0.01,ci,causal,0:00:01.203246
xyguassian,instance,0.01,pc,causal,0:00:08.346663
xyguassian,instance,0.01,ges,causal,0:00:03.061948
xyguassian,instance,0.01,lingam,unkown,0:00:03.525780
xyguassian,instance,0.01,fci,anticausal,0:00:00.032689
xyguassian,instance,0.01,icd,anticausal,0:00:00.040933
xyguassian,instance,0.01,rai,causal,0:00:01.262516
xyguassian,instance,0.01,ci,causal,0:00:01.180855
xyguassian,instance,0.01,pc,causal,0:00:08.352168
xyguassian,instance,0.01,ges,causal,0:00:03.066062
xyguassian,instance,0.01,lingam,unkown,0:00:03.579228
xyguassian,instance,0.01,gies,causal,0:00:03.030130
xyguassian,instance,0.01,sam,unkown,0:14:48.186951
xyguassian,instance,0.01,ccdr,causal,0:00:03.469579
xyguassian,instance,0.1,fci,anticausal,0:00:00.035864
xyguassian,instance,0.1,icd,anticausal,0:00:00.040755
xyguassian,instance,0.1,rai,causal,0:00:01.292096
xyguassian,instance,0.1,ci,causal,0:00:01.156197
xyguassian,instance,0.1,pc,causal,0:00:08.323998
xyguassian,instance,0.1,ges,causal,0:00:03.098299
xyguassian,instance,0.1,lingam,unkown,0:00:03.737428
xyguassian,instance,0.1,gies,causal,0:00:03.019828
xyguassian,instance,0.1,sam,unkown,0:14:48.342619
xyguassian,instance,0.1,ccdr,causal,0:00:03.381677
xyguassian,instance,0.2,fci,anticausal,0:00:00.034547
xyguassian,instance,0.2,icd,anticausal,0:00:00.039462
xyguassian,instance,0.2,rai,causal,0:00:01.600892
xyguassian,instance,0.2,ci,causal,0:00:01.030798
xyguassian,instance,0.2,pc,anticausal,0:00:08.106758
xyguassian,instance,0.2,ges,causal,0:00:02.943011
xyguassian,instance,0.2,lingam,unkown,0:00:03.424901
xyguassian,instance,0.2,gies,causal,0:00:02.945512
xyguassian,instance,0.2,sam,unkown,0:14:46.300942
xyguassian,instance,0.2,ccdr,causal,0:00:03.390748
xyguassian,instance,0.3,fci,anticausal,0:00:00.032813
xyguassian,instance,0.3,icd,anticausal,0:00:00.041066
xyguassian,instance,0.3,rai,anticausal,0:00:01.141405
xyguassian,instance,0.3,ci,anticausal,0:00:00.981161
xyguassian,instance,0.3,pc,anticausal,0:00:08.369237
xyguassian,instance,0.3,ges,anticausal,0:00:03.033465
xyguassian,instance,0.3,lingam,unkown,0:00:03.506635
xyguassian,instance,0.3,gies,anticausal,0:00:03.013886
xyguassian,instance,0.3,sam,unkown,0:15:11.209180
xyguassian,instance,0.3,ccdr,causal,0:00:03.351654
yxguassian,instance,0.01,fci,anticausal,0:00:00.075065
yxguassian,instance,0.01,icd,anticausal,0:00:00.109695
yxguassian,instance,0.01,rai,causal,0:00:02.316897
yxguassian,instance,0.01,ci,causal,0:00:02.199434
yxguassian,instance,0.01,pc,anticausal,0:00:08.353919
yxguassian,instance,0.01,ges,anticausal,0:00:02.976770
yxguassian,instance,0.01,lingam,unkown,0:00:05.131100
yxguassian,instance,0.01,gies,anticausal,0:00:03.078930
yxguassian,instance,0.01,sam,unkown,0:14:49.436745
yxguassian,instance,0.01,ccdr,anticausal,0:00:03.741941
yxguassian,sym,0.01,fci,anticausal,0:00:00.035666
yxguassian,sym,0.01,icd,anticausal,0:00:00.039978
yxguassian,sym,0.01,rai,causal,0:00:02.241851
yxguassian,sym,0.01,ci,causal,0:00:02.132653
yxguassian,sym,0.01,pc,anticausal,0:00:08.265062
yxguassian,sym,0.01,ges,anticausal,0:00:03.038861
yxguassian,sym,0.01,lingam,unkown,0:00:04.765391
yxguassian,sym,0.01,gies,anticausal,0:00:02.985778
yxguassian,sym,0.01,sam,unkown,0:14:48.641574
yxguassian,sym,0.01,ccdr,anticausal,0:00:03.339233
yxguassian,pair,0.01,fci,anticausal,0:00:00.035031
yxguassian,pair,0.01,icd,anticausal,0:00:00.040155
yxguassian,pair,0.01,rai,causal,0:00:02.255113
yxguassian,pair,0.01,ci,causal,0:00:02.121183
yxguassian,pair,0.01,pc,anticausal,0:00:08.294095
yxguassian,pair,0.01,ges,anticausal,0:00:02.942620
yxguassian,pair,0.01,lingam,unkown,0:00:04.622007
yxguassian,pair,0.01,gies,anticausal,0:00:02.948810
yxguassian,instance,0.01,fci,anticausal,0:00:00.105153
yxguassian,instance,0.01,icd,anticausal,0:00:00.106339
yxguassian,instance,0.01,rai,causal,0:00:02.497947
yxguassian,instance,0.01,ci,causal,0:00:02.187439
yxguassian,instance,0.01,pc,anticausal,0:00:08.290999
yxguassian,instance,0.01,ges,anticausal,0:00:02.978758
yxguassian,instance,0.01,lingam,unkown,0:00:04.794081
yxguassian,instance,0.01,gies,anticausal,0:00:02.984116
yxguassian,instance,0.01,fci,anticausal,0:00:00.086209
yxguassian,instance,0.01,icd,anticausal,0:00:00.106891
yxguassian,instance,0.01,rai,causal,0:00:02.421392
yxguassian,instance,0.01,ci,causal,0:00:02.162424
yxguassian,instance,0.01,pc,anticausal,0:00:08.464245
yxguassian,instance,0.01,ges,anticausal,0:00:02.989562
yxguassian,instance,0.01,lingam,unkown,0:00:03.532816
yxguassian,instance,0.01,gies,anticausal,0:00:03.006193
yxguassian,instance,0.01,ccdr,anticausal,0:00:03.478586
yxguassian,sym,0.01,fci,anticausal,0:00:00.035439
yxguassian,sym,0.01,icd,anticausal,0:00:00.040337
yxguassian,sym,0.01,rai,causal,0:00:02.227878
yxguassian,sym,0.01,ci,causal,0:00:02.116856
yxguassian,sym,0.01,pc,anticausal,0:00:08.215720
yxguassian,sym,0.01,ges,anticausal,0:00:02.946523
yxguassian,sym,0.01,lingam,unkown,0:00:04.653482
yxguassian,sym,0.01,gies,anticausal,0:00:02.966282
yxguassian,sym,0.01,ccdr,anticausal,0:00:03.354462
yxguassian,pair,0.01,fci,anticausal,0:00:00.035734
yxguassian,pair,0.01,icd,anticausal,0:00:00.040108
yxguassian,pair,0.01,rai,causal,0:00:02.219394
yxguassian,pair,0.01,ci,causal,0:00:02.082360
yxguassian,pair,0.01,pc,anticausal,0:00:08.076980
yxguassian,pair,0.01,ges,anticausal,0:00:02.957598
yxguassian,pair,0.01,lingam,unkown,0:00:04.217849
yxguassian,pair,0.01,gies,anticausal,0:00:02.896083
yxguassian,pair,0.01,ccdr,anticausal,0:00:03.360267
yxguassian,instance,0.1,fci,anticausal,0:00:00.071618
yxguassian,instance,0.1,icd,anticausal,0:00:00.111652
yxguassian,instance,0.1,rai,causal,0:00:02.318714
yxguassian,instance,0.1,ci,causal,0:00:02.206622
yxguassian,instance,0.1,pc,anticausal,0:00:08.226309
yxguassian,instance,0.1,ges,anticausal,0:00:02.977186
yxguassian,instance,0.1,lingam,unkown,0:00:04.111271
yxguassian,instance,0.1,gies,anticausal,0:00:02.958812
yxguassian,instance,0.1,ccdr,anticausal,0:00:03.453460
yxguassian,sym,0.1,fci,anticausal,0:00:00.075013
yxguassian,sym,0.1,icd,anticausal,0:00:00.111354
yxguassian,sym,0.1,rai,causal,0:00:02.291683
yxguassian,sym,0.1,ci,causal,0:00:02.166117
yxguassian,sym,0.1,pc,anticausal,0:00:08.342599
yxguassian,sym,0.1,ges,anticausal,0:00:02.959393
yxguassian,sym,0.1,lingam,unkown,0:00:03.921623
yxguassian,sym,0.1,gies,anticausal,0:00:02.868203
yxguassian,sym,0.1,ccdr,anticausal,0:00:03.358460
yxguassian,pair,0.1,fci,anticausal,0:00:00.073812
yxguassian,pair,0.1,icd,anticausal,0:00:00.107018
yxguassian,pair,0.1,rai,causal,0:00:02.287150
yxguassian,pair,0.1,ci,causal,0:00:02.181986
yxguassian,pair,0.1,pc,anticausal,0:00:08.059671
yxguassian,pair,0.1,ges,anticausal,0:00:02.974201
yxguassian,pair,0.1,lingam,unkown,0:00:03.917279
yxguassian,pair,0.1,gies,anticausal,0:00:02.944863
yxguassian,pair,0.1,ccdr,anticausal,0:00:03.368260
yxguassian,instance,0.2,fci,anticausal,0:00:00.073253
yxguassian,instance,0.2,icd,anticausal,0:00:00.112751
yxguassian,instance,0.2,rai,causal,0:00:01.757444
yxguassian,instance,0.2,ci,causal,0:00:01.655788
yxguassian,instance,0.2,pc,anticausal,0:00:08.168403
yxguassian,instance,0.2,ges,anticausal,0:00:02.960785
yxguassian,instance,0.2,lingam,unkown,0:00:03.941256
yxguassian,instance,0.2,gies,anticausal,0:00:03.042351
yxguassian,instance,0.2,ccdr,anticausal,0:00:03.522745
yxguassian,sym,0.2,fci,anticausal,0:00:00.073753
yxguassian,sym,0.2,icd,anticausal,0:00:00.110257
yxguassian,sym,0.2,rai,causal,0:00:01.848482
yxguassian,sym,0.2,ci,causal,0:00:01.738409
yxguassian,sym,0.2,pc,anticausal,0:00:08.535003
yxguassian,sym,0.2,ges,anticausal,0:00:03.010656
yxguassian,sym,0.2,lingam,unkown,0:00:03.643616
yxguassian,sym,0.2,gies,anticausal,0:00:02.916875
yxguassian,sym,0.2,ccdr,anticausal,0:00:03.493839
yxguassian,pair,0.2,fci,anticausal,0:00:00.069384
yxguassian,pair,0.2,icd,anticausal,0:00:00.107542
yxguassian,pair,0.2,rai,causal,0:00:01.837802
yxguassian,pair,0.2,ci,causal,0:00:01.745389
yxguassian,pair,0.2,pc,anticausal,0:00:08.167220
yxguassian,pair,0.2,ges,anticausal,0:00:02.917946
yxguassian,pair,0.2,lingam,unkown,0:00:03.279798
yxguassian,pair,0.2,gies,anticausal,0:00:02.991252
yxguassian,pair,0.2,ccdr,anticausal,0:00:03.356219
yxguassian,instance,0.3,fci,anticausal,0:00:00.072325
yxguassian,instance,0.3,icd,anticausal,0:00:00.114060
yxguassian,instance,0.3,rai,causal,0:00:01.085038
yxguassian,instance,0.3,ci,causal,0:00:01.025969
yxguassian,instance,0.3,pc,anticausal,0:00:08.289278
yxguassian,instance,0.3,ges,anticausal,0:00:03.041118
yxguassian,instance,0.3,lingam,unkown,0:00:03.525239
yxguassian,instance,0.3,gies,anticausal,0:00:02.954166
yxguassian,instance,0.3,ccdr,causal,0:00:03.431112
yxguassian,sym,0.3,fci,anticausal,0:00:00.080053
yxguassian,sym,0.3,icd,anticausal,0:00:00.110573
yxguassian,sym,0.3,rai,causal,0:00:01.552345
yxguassian,sym,0.3,ci,causal,0:00:01.502031
yxguassian,sym,0.3,pc,anticausal,0:00:08.307756
yxguassian,sym,0.3,ges,anticausal,0:00:02.911852
yxguassian,sym,0.3,lingam,unkown,0:00:03.194077
yxguassian,sym,0.3,gies,anticausal,0:00:02.901209
yxguassian,sym,0.3,ccdr,causal,0:00:03.389972
yxguassian,pair,0.3,fci,anticausal,0:00:00.073744
yxguassian,pair,0.3,icd,anticausal,0:00:00.110473
yxguassian,pair,0.3,rai,causal,0:00:01.665500
yxguassian,pair,0.3,ci,causal,0:00:01.472011
yxguassian,pair,0.3,pc,anticausal,0:00:08.275260
yxguassian,pair,0.3,ges,anticausal,0:00:02.905970
yxguassian,pair,0.3,lingam,unkown,0:00:03.148625
yxguassian,pair,0.3,gies,anticausal,0:00:02.930396
yxguassian,pair,0.3,ccdr,causal,0:00:03.452781
krkp,instance,0.01,fci,anticausal,0:00:36.396820
krkp,instance,0.01,icd,anticausal,0:01:07.893580
krkp,instance,0.01,rai,anticausal,0:00:10.865610
krkp,instance,0.01,ci,causal,0:28:46.973144
krkp,instance,0.01,pc,anticausal,0:00:38.780954
krkp,instance,0.01,ges,anticausal,0:00:03.126424
krkp,instance,0.01,lingam,unkown,0:00:05.440585
krkp,instance,0.01,gies,anticausal,0:00:03.235171
krkp,instance,0.01,ccdr,causal,0:00:03.703517
krkp,sym,0.01,fci,anticausal,0:00:34.544526
krkp,sym,0.01,icd,anticausal,0:01:08.806904
krkp,sym,0.01,rai,anticausal,0:00:12.534869
krkp,sym,0.01,ci,anticausal,1:33:18.078568
krkp,sym,0.01,pc,causal,0:00:31.993932
krkp,sym,0.01,ges,anticausal,0:00:03.132823
krkp,sym,0.01,lingam,unkown,0:00:05.325605
krkp,sym,0.01,gies,anticausal,0:00:03.405683
krkp,sym,0.01,ccdr,causal,0:00:03.654276
krkp,pair,0.01,fci,anticausal,0:00:34.313860
krkp,pair,0.01,icd,anticausal,0:01:12.345518
krkp,pair,0.01,rai,anticausal,0:00:12.723500
krkp,pair,0.01,ci,anticausal,1:28:49.131172
krkp,pair,0.01,pc,causal,0:00:31.845580
krkp,pair,0.01,ges,anticausal,0:00:03.052087
krkp,pair,0.01,lingam,unkown,0:00:05.326848
krkp,pair,0.01,gies,anticausal,0:00:03.326442
krkp,pair,0.01,ccdr,causal,0:00:03.674570
krkp,instance,0.1,fci,anticausal,0:00:38.442887
krkp,instance,0.1,icd,anticausal,0:01:06.473384
krkp,instance,0.1,rai,anticausal,0:00:09.152776
krkp,instance,0.1,ci,causal,0:27:06.645755
krkp,instance,0.1,pc,anticausal,0:00:39.334203
krkp,instance,0.1,ges,anticausal,0:00:03.151695
krkp,instance,0.1,lingam,unkown,0:00:05.307381
krkp,instance,0.1,gies,anticausal,0:00:03.180232
krkp,instance,0.1,ccdr,causal,0:00:03.721604
krkp,sym,0.1,fci,anticausal,0:00:37.736277
krkp,sym,0.1,icd,anticausal,0:01:03.390981
krkp,sym,0.1,rai,anticausal,0:00:10.764106
krkp,sym,0.1,ci,causal,1:30:49.863917
krkp,sym,0.1,pc,causal,0:00:39.377709
krkp,sym,0.1,ges,anticausal,0:00:03.041064
krkp,sym,0.1,lingam,unkown,0:00:05.324139
krkp,sym,0.1,gies,anticausal,0:00:03.049962
krkp,sym,0.1,ccdr,causal,0:00:03.542187
krkp,pair,0.1,fci,anticausal,0:00:36.990860
krkp,pair,0.1,icd,anticausal,0:01:04.129022
krkp,pair,0.1,rai,anticausal,0:00:10.756382
krkp,pair,0.1,ci,causal,1:30:00.623359
krkp,pair,0.1,pc,causal,0:00:39.165829
krkp,pair,0.1,ges,anticausal,0:00:03.028814
krkp,pair,0.1,lingam,unkown,0:00:05.329167
krkp,pair,0.1,gies,anticausal,0:00:03.012077
krkp,pair,0.1,ccdr,causal,0:00:03.563947
krkp,instance,0.2,fci,anticausal,0:00:34.658652
krkp,instance,0.2,icd,anticausal,0:01:02.024382
krkp,instance,0.2,rai,anticausal,0:00:09.198301
krkp,instance,0.2,ci,causal,1:26:30.874387
krkp,instance,0.2,pc,anticausal,0:00:38.029399
krkp,instance,0.2,ges,anticausal,0:00:02.926135
krkp,instance,0.2,lingam,unkown,0:00:05.059124
krkp,instance,0.2,gies,anticausal,0:00:02.937189
krkp,instance,0.2,ccdr,unkown,0:00:03.624128
krkp,sym,0.2,fci,anticausal,0:00:34.089825
krkp,sym,0.2,icd,anticausal,0:01:04.673886
krkp,sym,0.2,rai,anticausal,0:00:09.571147
krkp,sym,0.2,ci,causal,1:28:10.488463
krkp,sym,0.2,pc,anticausal,0:00:36.885463
krkp,sym,0.2,ges,anticausal,0:00:03.018505
krkp,sym,0.2,lingam,unkown,0:00:05.152358
krkp,sym,0.2,gies,anticausal,0:00:03.093157
krkp,sym,0.2,ccdr,unkown,0:00:03.659745
krkp,pair,0.2,fci,anticausal,0:00:36.518187
krkp,pair,0.2,icd,anticausal,0:01:04.541446
krkp,pair,0.2,rai,anticausal,0:00:08.932851
krkp,pair,0.2,ci,causal,1:26:49.533495
krkp,pair,0.2,pc,anticausal,0:00:37.622567
krkp,pair,0.2,ges,anticausal,0:00:03.074219
krkp,pair,0.2,lingam,unkown,0:00:05.240621
krkp,pair,0.2,gies,anticausal,0:00:03.026822
krkp,pair,0.2,ccdr,unkown,0:00:03.535938
krkp,instance,0.3,fci,anticausal,0:00:37.608082
krkp,instance,0.3,icd,anticausal,0:01:02.524870
krkp,instance,0.3,rai,anticausal,0:00:12.158234
splice,instance,0.1,fci,anticausal,0:01:04.024989
