Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
secstr,instance,0.1,fci,anticausal,
secstr,pair,0.1,fci,anticausal,
secstr,sym,0.2,fci,anticausal,
secstr,instance,0.2,fci,anticausal,
secstr,pair,0.2,fci,anticausal,
secstr,sym,0.3,fci,anticausal,
secstr,instance,0.3,fci,anticausal,
secstr,pair,0.3,fci,anticausal,
letter,sym,0.01,fci,anticausal,
letter,instance,0.01,fci,anticausal,
letter,pair,0.01,fci,anticausal,
letter,sym,0.1,fci,anticausal,
letter,instance,0.1,fci,anticausal,
letter,pair,0.1,fci,anticausal,
letter,sym,0.2,fci,anticausal,
letter,instance,0.2,fci,anticausal,
letter,pair,0.2,fci,anticausal,
letter,sym,0.3,fci,anticausal,
letter,instance,0.3,fci,anticausal,
letter,pair,0.3,fci,anticausal,
g241c,sym,0.01,fci,anticausal,
g241c,sym,0.1,fci,anticausal,
g241c,instance,0.1,fci,anticausal,
g241c,pair,0.1,fci,anticausal,
g241c,sym,0.2,fci,anticausal,
g241c,instance,0.2,fci,anticausal,
g241c,pair,0.2,fci,anticausal,
g241c,sym,0.3,fci,anticausal,
g241c,instance,0.3,fci,anticausal,
g241c,pair,0.3,fci,anticausal,
coil,sym,0.01,fci,anticausal,
coil,instance,0.01,fci,anticausal,
coil,pair,0.01,fci,anticausal,
coil,sym,0.1,fci,anticausal,
coil,instance,0.1,fci,anticausal,
coil,pair,0.1,fci,anticausal,
coil,sym,0.2,fci,anticausal,
coil,instance,0.2,fci,anticausal,
coil,pair,0.2,fci,anticausal,
coil,sym,0.3,fci,anticausal,
coil,instance,0.3,fci,unkown,
coil,pair,0.3,fci,anticausal,
digit1,sym,0.01,fci,anticausal,
digit1,instance,0.01,fci,anticausal,
digit1,pair,0.01,fci,anticausal,
digit1,sym,0.1,fci,anticausal,
digit1,instance,0.1,fci,anticausal,
digit1,pair,0.1,fci,anticausal,
digit1,sym,0.2,fci,anticausal,
digit1,instance,0.2,fci,anticausal,
digit1,pair,0.2,fci,anticausal,
digit1,sym,0.3,fci,anticausal,
digit1,instance,0.3,fci,anticausal,
digit1,pair,0.3,fci,anticausal,
wdbc,sym,0.01,fci,anticausal,
wdbc,instance,0.01,fci,anticausal,
wdbc,pair,0.01,fci,anticausal,
wdbc,sym,0.1,fci,anticausal,
wdbc,instance,0.1,fci,anticausal,
wdbc,pair,0.1,fci,anticausal,
wdbc,sym,0.2,fci,unkown,
wdbc,instance,0.2,fci,unkown,
wdbc,pair,0.2,fci,unkown,
wdbc,sym,0.3,fci,unkown,
wdbc,instance,0.3,fci,unkown,
wdbc,pair,0.3,fci,unkown,
usps,sym,0.01,fci,anticausal,
usps,instance,0.01,fci,anticausal,
usps,pair,0.01,fci,anticausal,
usps,sym,0.1,fci,anticausal,
usps,instance,0.1,fci,anticausal,
usps,pair,0.1,fci,anticausal,
usps,sym,0.2,fci,anticausal,
usps,instance,0.2,fci,anticausal,
usps,pair,0.2,fci,anticausal,
usps,sym,0.3,fci,anticausal,
usps,instance,0.3,fci,unkown,
usps,pair,0.3,fci,anticausal,
xyguassian,sym,0.01,fci,anticausal,
xyguassian,instance,0.01,fci,anticausal,
xyguassian,pair,0.01,fci,anticausal,
xyguassian,sym,0.1,fci,anticausal,
xyguassian,instance,0.1,fci,anticausal,
xyguassian,pair,0.1,fci,anticausal,
xyguassian,sym,0.2,fci,anticausal,
xyguassian,instance,0.2,fci,anticausal,
xyguassian,pair,0.2,fci,anticausal,
xyguassian,sym,0.3,fci,anticausal,
xyguassian,instance,0.3,fci,anticausal,
xyguassian,pair,0.3,fci,anticausal,
yxguassian,sym,0.01,fci,anticausal,
yxguassian,instance,0.01,fci,anticausal,
yxguassian,pair,0.01,fci,anticausal,
yxguassian,sym,0.1,fci,anticausal,
yxguassian,instance,0.1,fci,anticausal,
yxguassian,pair,0.1,fci,anticausal,
yxguassian,sym,0.2,fci,anticausal,
yxguassian,instance,0.2,fci,anticausal,
yxguassian,pair,0.2,fci,anticausal,
yxguassian,sym,0.3,fci,anticausal,
yxguassian,instance,0.3,fci,anticausal,
yxguassian,pair,0.3,fci,anticausal,
waveform,sym,0.01,fci,anticausal,
waveform,instance,0.01,fci,anticausal,
waveform,pair,0.01,fci,anticausal,
waveform,sym,0.1,fci,anticausal,
waveform,instance,0.1,fci,anticausal,
waveform,pair,0.1,fci,anticausal,
waveform,sym,0.2,fci,anticausal,
waveform,instance,0.2,fci,anticausal,
waveform,pair,0.2,fci,anticausal,
waveform,sym,0.3,fci,anticausal,
waveform,instance,0.3,fci,anticausal,
waveform,pair,0.3,fci,anticausal,
iris,instance,0.01,pc,anticausal,
iris,instance,0.01,ges,anticausal,
iris,instance,0.01,gies,anticausal,
iris,instance,0.01,lingam,unkown,
iris,pair,0.01,pc,anticausal,
iris,pair,0.01,ges,anticausal,
iris,pair,0.01,gies,anticausal,
iris,pair,0.01,lingam,unkown,
iris,sym,0.01,pc,anticausal,
iris,sym,0.01,ges,anticausal,
iris,sym,0.01,gies,anticausal,
iris,sym,0.01,lingam,unkown,
iris,instance,0.2,pc,anticausal,
iris,instance,0.2,ges,causal,
iris,instance,0.2,gies,causal,
iris,instance,0.2,lingam,unkown,
iris,pair,0.2,pc,unkown,
iris,pair,0.2,ges,causal,
iris,pair,0.2,gies,causal,
iris,pair,0.2,lingam,unkown,
iris,sym,0.2,pc,causal,
iris,sym,0.2,ges,causal,
iris,sym,0.2,gies,causal,
iris,sym,0.2,lingam,unkown,
iris,instance,0.4,pc,unkown,
iris,instance,0.4,ges,causal,
iris,instance,0.4,gies,causal,
iris,instance,0.4,lingam,unkown,
iris,pair,0.4,pc,anticausal,
iris,pair,0.4,ges,causal,
iris,pair,0.4,gies,causal,
iris,pair,0.4,lingam,unkown,
iris,sym,0.4,pc,unkown,
iris,sym,0.4,ges,causal,
iris,sym,0.4,gies,causal,
iris,sym,0.4,lingam,unkown,
krkp,instance,0.01,pc,anticausal,
krkp,instance,0.01,ges,anticausal,
krkp,instance,0.01,gies,anticausal,
krkp,instance,0.01,lingam,unkown,
krkp,pair,0.01,pc,causal,
krkp,pair,0.01,ges,anticausal,
krkp,pair,0.01,gies,anticausal,
krkp,pair,0.01,lingam,unkown,
krkp,sym,0.01,pc,causal,
krkp,sym,0.01,ges,anticausal,
krkp,sym,0.01,gies,anticausal,
krkp,sym,0.01,lingam,unkown,
krkp,instance,0.2,pc,anticausal,
krkp,instance,0.2,ges,anticausal,
krkp,instance,0.2,gies,anticausal,
krkp,instance,0.2,lingam,unkown,
krkp,pair,0.2,pc,anticausal,
krkp,pair,0.2,ges,anticausal,
krkp,pair,0.2,gies,anticausal,
krkp,pair,0.2,lingam,unkown,
krkp,sym,0.2,pc,anticausal,
krkp,sym,0.2,ges,anticausal,
krkp,sym,0.2,gies,anticausal,
krkp,sym,0.2,lingam,unkown,
krkp,instance,0.4,pc,anticausal,
krkp,instance,0.4,ges,causal,
krkp,instance,0.4,gies,causal,
krkp,instance,0.4,lingam,unkown,
krkp,pair,0.4,pc,anticausal,
krkp,pair,0.4,ges,anticausal,
krkp,pair,0.4,gies,anticausal,
krkp,pair,0.4,lingam,unkown,
krkp,sym,0.4,pc,anticausal,
krkp,sym,0.4,ges,anticausal,
krkp,sym,0.4,gies,anticausal,
krkp,sym,0.4,lingam,unkown,
mushroom,instance,0.01,pc,causal,
mushroom,instance,0.01,ges,anticausal,
mushroom,instance,0.01,gies,anticausal,
mushroom,pair,0.01,pc,causal,
mushroom,pair,0.01,ges,anticausal,
mushroom,pair,0.01,gies,anticausal,
mushroom,sym,0.01,pc,causal,
mushroom,sym,0.01,ges,anticausal,
mushroom,sym,0.01,gies,anticausal,
mushroom,instance,0.2,pc,anticausal,
mushroom,instance,0.2,ges,anticausal,
mushroom,instance,0.2,gies,anticausal,
mushroom,pair,0.2,pc,anticausal,
mushroom,pair,0.2,ges,anticausal,
mushroom,pair,0.2,gies,anticausal,
mushroom,sym,0.2,pc,anticausal,
mushroom,sym,0.2,ges,anticausal,
mushroom,sym,0.2,gies,anticausal,
mushroom,instance,0.4,pc,unkown,
mushroom,instance,0.4,ges,anticausal,
mushroom,instance,0.4,gies,anticausal,
mushroom,pair,0.4,pc,anticausal,
mushroom,pair,0.4,ges,anticausal,
mushroom,pair,0.4,gies,anticausal,
mushroom,sym,0.4,pc,anticausal,
mushroom,sym,0.4,ges,anticausal,
mushroom,sym,0.4,gies,anticausal,
splice,instance,0.01,pc,anticausal,
splice,instance,0.01,ges,anticausal,
splice,instance,0.01,gies,anticausal,
splice,instance,0.01,lingam,unkown,
splice,pair,0.01,pc,anticausal,
splice,pair,0.01,ges,anticausal,
splice,pair,0.01,gies,anticausal,
splice,pair,0.01,lingam,unkown,
splice,sym,0.01,pc,anticausal,
splice,sym,0.01,ges,anticausal,
splice,sym,0.01,gies,anticausal,
splice,sym,0.01,lingam,unkown,
splice,instance,0.2,pc,anticausal,
splice,instance,0.2,ges,anticausal,
splice,instance,0.2,gies,anticausal,
splice,instance,0.2,lingam,unkown,
splice,pair,0.2,pc,anticausal,
splice,pair,0.2,ges,anticausal,
splice,pair,0.2,gies,anticausal,
splice,pair,0.2,lingam,unkown,
splice,sym,0.2,pc,anticausal,
splice,sym,0.2,ges,anticausal,
splice,sym,0.2,gies,anticausal,
splice,sym,0.2,lingam,unkown,
splice,instance,0.4,pc,anticausal,
splice,instance,0.4,ges,anticausal,
splice,instance,0.4,gies,anticausal,
splice,instance,0.4,lingam,unkown,
splice,pair,0.4,pc,anticausal,
splice,pair,0.4,ges,anticausal,
splice,pair,0.4,gies,anticausal,
splice,pair,0.4,lingam,unkown,
splice,sym,0.4,pc,anticausal,
splice,sym,0.4,ges,anticausal,
splice,sym,0.4,gies,anticausal,
splice,sym,0.4,lingam,unkown,
waveform,instance,0.01,pc,anticausal,
waveform,instance,0.01,ges,causal,
waveform,instance,0.01,gies,causal,
waveform,instance,0.01,lingam,unkown,
waveform,pair,0.01,pc,anticausal,
waveform,pair,0.01,ges,anticausal,
waveform,pair,0.01,gies,anticausal,
waveform,pair,0.01,lingam,unkown,
waveform,sym,0.01,pc,anticausal,
waveform,sym,0.01,ges,anticausal,
waveform,sym,0.01,gies,anticausal,
waveform,sym,0.01,lingam,unkown,
waveform,instance,0.2,pc,anticausal,
waveform,instance,0.2,ges,causal,
waveform,instance,0.2,gies,causal,
waveform,instance,0.2,lingam,unkown,
waveform,pair,0.2,pc,anticausal,
waveform,pair,0.2,ges,causal,
waveform,pair,0.2,gies,causal,
waveform,pair,0.2,lingam,unkown,
waveform,sym,0.2,pc,anticausal,
waveform,sym,0.2,ges,anticausal,
waveform,sym,0.2,gies,anticausal,
waveform,sym,0.2,lingam,unkown,
waveform,instance,0.4,pc,anticausal,
waveform,instance,0.4,ges,causal,
waveform,instance,0.4,gies,causal,
waveform,instance,0.4,lingam,unkown,
waveform,pair,0.4,pc,anticausal,
waveform,pair,0.4,ges,causal,
waveform,pair,0.4,gies,causal,
waveform,pair,0.4,lingam,unkown,
waveform,sym,0.4,pc,anticausal,
waveform,sym,0.4,ges,causal,
waveform,sym,0.4,gies,causal,
waveform,sym,0.4,lingam,unkown,
secstr,instance,0.01,pc,anticausal,
secstr,instance,0.01,ges,anticausal,
secstr,instance,0.01,gies,anticausal,
secstr,instance,0.01,lingam,unkown,
secstr,pair,0.01,pc,anticausal,
secstr,pair,0.01,ges,anticausal,
secstr,pair,0.01,gies,anticausal,
secstr,pair,0.01,lingam,unkown,
secstr,sym,0.01,pc,anticausal,
secstr,sym,0.01,ges,anticausal,
secstr,sym,0.01,gies,anticausal,
secstr,sym,0.01,lingam,unkown,
secstr,instance,0.2,pc,anticausal,
secstr,instance,0.2,ges,causal,
secstr,instance,0.2,gies,causal,
secstr,instance,0.2,lingam,unkown,
secstr,pair,0.2,pc,anticausal,
secstr,pair,0.2,ges,anticausal,
secstr,pair,0.2,gies,anticausal,
secstr,pair,0.2,lingam,unkown,
secstr,sym,0.2,pc,anticausal,
secstr,sym,0.2,ges,anticausal,
secstr,sym,0.2,gies,anticausal,
secstr,sym,0.2,lingam,unkown,
secstr,instance,0.4,pc,anticausal,
secstr,instance,0.4,ges,anticausal,
secstr,instance,0.4,gies,anticausal,
secstr,instance,0.4,lingam,unkown,
secstr,pair,0.4,pc,anticausal,
secstr,pair,0.4,ges,causal,
secstr,pair,0.4,gies,causal,
secstr,pair,0.4,lingam,unkown,
secstr,sym,0.4,pc,anticausal,
secstr,sym,0.4,ges,causal,
secstr,sym,0.4,gies,causal,
secstr,sym,0.4,lingam,unkown,
letter,instance,0.01,pc,anticausal,
letter,instance,0.01,ges,anticausal,
letter,instance,0.01,gies,anticausal,
letter,instance,0.01,lingam,unkown,
letter,instance,0.01,cam,anticausal,
letter,pair,0.01,pc,causal,
letter,pair,0.01,ges,anticausal,
letter,pair,0.01,gies,anticausal,
letter,pair,0.01,lingam,unkown,
letter,pair,0.01,cam,anticausal,
letter,sym,0.01,pc,anticausal,
letter,sym,0.01,ges,anticausal,
letter,sym,0.01,gies,anticausal,
letter,sym,0.01,lingam,unkown,
letter,sym,0.01,cam,anticausal,
letter,instance,0.2,pc,anticausal,
letter,instance,0.2,ges,anticausal,
letter,instance,0.2,gies,anticausal,
letter,instance,0.2,lingam,unkown,
letter,instance,0.2,cam,anticausal,
letter,pair,0.2,pc,anticausal,
letter,pair,0.2,ges,anticausal,
letter,pair,0.2,gies,anticausal,
letter,pair,0.2,lingam,unkown,
letter,pair,0.2,cam,anticausal,
letter,sym,0.2,pc,anticausal,
letter,sym,0.2,ges,anticausal,
letter,sym,0.2,gies,anticausal,
letter,sym,0.2,lingam,unkown,
letter,sym,0.2,cam,anticausal,
letter,instance,0.4,pc,anticausal,
letter,instance,0.4,ges,anticausal,
letter,instance,0.4,gies,anticausal,
letter,instance,0.4,lingam,unkown,
letter,instance,0.4,cam,anticausal,
letter,pair,0.4,pc,causal,
letter,pair,0.4,ges,anticausal,
letter,pair,0.4,gies,anticausal,
letter,pair,0.4,lingam,unkown,
letter,pair,0.4,cam,anticausal,
letter,sym,0.4,pc,anticausal,
letter,sym,0.4,ges,anticausal,
letter,sym,0.4,gies,anticausal,
letter,sym,0.4,lingam,unkown,
letter,sym,0.4,cam,anticausal,
segment,instance,0.01,pc,anticausal,
segment,instance,0.01,ges,anticausal,
segment,instance,0.01,gies,anticausal,
segment,pair,0.01,pc,anticausal,
segment,pair,0.01,ges,anticausal,
segment,pair,0.01,gies,anticausal,
segment,instance,0.2,pc,anticausal,
segment,instance,0.2,ges,anticausal,
segment,instance,0.2,gies,anticausal,
segment,pair,0.2,pc,anticausal,
segment,pair,0.2,ges,anticausal,
segment,pair,0.2,gies,anticausal,
segment,sym,0.2,pc,anticausal,
segment,sym,0.2,ges,anticausal,
segment,sym,0.2,gies,anticausal,
segment,instance,0.4,pc,anticausal,
segment,instance,0.4,ges,anticausal,
segment,instance,0.4,gies,anticausal,
segment,pair,0.4,pc,anticausal,
segment,pair,0.4,ges,anticausal,
segment,pair,0.4,gies,anticausal,
segment,sym,0.4,pc,anticausal,
segment,sym,0.4,ges,anticausal,
segment,sym,0.4,gies,anticausal,
breastcancer,instance,0.01,pc,anticausal,
breastcancer,instance,0.01,ges,anticausal,
breastcancer,instance,0.01,gies,anticausal,
breastcancer,instance,0.01,lingam,unkown,
breastcancer,pair,0.01,pc,anticausal,
breastcancer,pair,0.01,ges,anticausal,
breastcancer,pair,0.01,gies,anticausal,
breastcancer,pair,0.01,lingam,unkown,
breastcancer,sym,0.01,pc,anticausal,
breastcancer,sym,0.01,ges,anticausal,
breastcancer,sym,0.01,gies,anticausal,
breastcancer,sym,0.01,lingam,unkown,
breastcancer,instance,0.2,pc,anticausal,
breastcancer,instance,0.2,ges,anticausal,
breastcancer,instance,0.2,gies,anticausal,
breastcancer,instance,0.2,lingam,unkown,
breastcancer,pair,0.2,pc,anticausal,
breastcancer,pair,0.2,ges,anticausal,
breastcancer,pair,0.2,gies,anticausal,
breastcancer,pair,0.2,lingam,unkown,
breastcancer,sym,0.2,pc,anticausal,
breastcancer,sym,0.2,ges,anticausal,
breastcancer,sym,0.2,gies,anticausal,
breastcancer,sym,0.2,lingam,unkown,
breastcancer,instance,0.4,pc,unkown,
breastcancer,instance,0.4,ges,unkown,
breastcancer,instance,0.4,gies,unkown,
breastcancer,instance,0.4,lingam,unkown,
breastcancer,pair,0.4,pc,unkown,
breastcancer,pair,0.4,ges,anticausal,
breastcancer,pair,0.4,gies,anticausal,
breastcancer,pair,0.4,lingam,unkown,
breastcancer,sym,0.4,pc,unkown,
breastcancer,sym,0.4,ges,anticausal,
breastcancer,sym,0.4,gies,anticausal,
breastcancer,sym,0.4,lingam,unkown,
g241c,instance,0.01,pc,anticausal,
g241c,instance,0.01,ges,anticausal,
g241c,instance,0.01,gies,anticausal,
g241c,instance,0.01,lingam,unkown,
g241c,pair,0.01,pc,anticausal,
g241c,pair,0.01,ges,anticausal,
g241c,pair,0.01,gies,anticausal,
g241c,pair,0.01,lingam,unkown,
g241c,sym,0.01,pc,anticausal,
g241c,sym,0.01,ges,anticausal,
g241c,sym,0.01,gies,anticausal,
g241c,sym,0.01,lingam,unkown,
g241c,instance,0.2,pc,unkown,
g241c,instance,0.2,ges,anticausal,
g241c,instance,0.2,gies,anticausal,
g241c,instance,0.2,lingam,unkown,
g241c,pair,0.2,pc,anticausal,
g241c,pair,0.2,ges,anticausal,
g241c,pair,0.2,gies,anticausal,
g241c,pair,0.2,lingam,unkown,
g241c,sym,0.2,pc,anticausal,
g241c,sym,0.2,ges,causal,
g241c,sym,0.2,gies,causal,
iris,pair,0.01,fci,anticausal,
iris,pair,0.01,icd,anticausal,
iris,instance,0.01,fci,anticausal,
iris,instance,0.01,icd,anticausal,
iris,instance,0.01,rai,anticausal,
iris,instance,0.01,ci,anticausal,
iris,pair,0.01,fci,anticausal,
iris,pair,0.01,icd,anticausal,
iris,pair,0.01,rai,anticausal,
iris,pair,0.01,ci,anticausal,
iris,sym,0.01,fci,anticausal,
iris,sym,0.01,icd,anticausal,
iris,sym,0.01,rai,anticausal,
iris,sym,0.01,ci,anticausal,
iris,instance,0.1,fci,unkown,
iris,instance,0.1,icd,unkown,
iris,instance,0.1,rai,anticausal,
iris,instance,0.1,ci,anticausal,
iris,pair,0.1,fci,anticausal,
iris,pair,0.1,icd,anticausal,
iris,pair,0.1,rai,anticausal,
iris,pair,0.1,ci,anticausal,
iris,sym,0.1,fci,anticausal,
iris,sym,0.1,icd,anticausal,
iris,sym,0.1,rai,anticausal,
iris,sym,0.1,ci,anticausal,
iris,instance,0.2,fci,anticausal,
iris,instance,0.2,icd,anticausal,
iris,instance,0.2,rai,anticausal,
iris,instance,0.2,ci,anticausal,
iris,pair,0.2,fci,unkown,
iris,pair,0.2,icd,unkown,
iris,pair,0.2,rai,anticausal,
iris,pair,0.2,ci,anticausal,
iris,sym,0.2,fci,anticausal,
iris,sym,0.2,icd,anticausal,
iris,sym,0.2,rai,anticausal,
iris,sym,0.2,ci,anticausal,
iris,instance,0.3,fci,unkown,
iris,instance,0.3,icd,unkown,
iris,instance,0.3,rai,anticausal,
iris,instance,0.3,ci,anticausal,
iris,pair,0.3,fci,unkown,
iris,pair,0.3,icd,unkown,
iris,pair,0.3,rai,anticausal,
iris,pair,0.3,ci,anticausal,
iris,sym,0.3,fci,unkown,
iris,sym,0.3,icd,unkown,
iris,sym,0.3,rai,anticausal,
iris,sym,0.3,ci,anticausal,
xyguassian,sym,0.1,fci,anticausal,0:00:00.035887
xyguassian,sym,0.1,icd,anticausal,0:00:00.043867
xyguassian,sym,0.1,rai,causal,0:00:01.385520
xyguassian,sym,0.1,score,unkown,0:36:09.911941
xyguassian,sym,0.1,pc,causal,0:00:09.910095
xyguassian,sym,0.1,ges,causal,0:00:03.491388
xyguassian,sym,0.1,lingam,unkown,0:00:04.131538
xyguassian,sym,0.1,gies,causal,0:00:03.543570
xyguassian,sym,0.1,ccdr,causal,0:00:04.048743
xyguassian,pair,0.1,fci,anticausal,0:00:00.032087
xyguassian,pair,0.1,icd,anticausal,0:00:00.042964
xyguassian,pair,0.1,rai,causal,0:00:01.403707
xyguassian,pair,0.1,score,unkown,0:36:22.842557
xyguassian,pair,0.1,pc,causal,0:00:09.727955
xyguassian,pair,0.1,ges,causal,0:00:03.624301
xyguassian,pair,0.1,lingam,unkown,0:00:04.250334
xyguassian,pair,0.1,gies,causal,0:00:03.646917
xyguassian,pair,0.1,ccdr,causal,0:00:04.033940
xyguassian,sym,0.2,fci,anticausal,0:00:00.031361
xyguassian,sym,0.2,icd,anticausal,0:00:00.043362
xyguassian,sym,0.2,rai,causal,0:00:01.652819
xyguassian,sym,0.2,pc,anticausal,0:00:09.980442
xyguassian,sym,0.2,ges,causal,0:00:03.533122
xyguassian,sym,0.2,lingam,unkown,0:00:04.200470
xyguassian,sym,0.2,gies,causal,0:00:03.407704
xyguassian,sym,0.2,ccdr,causal,0:00:03.918897
xyguassian,pair,0.2,fci,anticausal,0:00:00.034169
xyguassian,pair,0.2,icd,anticausal,0:00:00.045189
xyguassian,pair,0.2,rai,causal,0:00:01.957456
xyguassian,pair,0.2,pc,anticausal,0:00:09.706625
xyguassian,pair,0.2,ges,causal,0:00:03.550335
xyguassian,pair,0.2,lingam,unkown,0:00:04.220111
xyguassian,pair,0.2,gies,causal,0:00:03.592250
xyguassian,pair,0.2,ccdr,causal,0:00:03.937967
xyguassian,sym,0.3,fci,anticausal,0:00:00.032250
xyguassian,sym,0.3,icd,anticausal,0:00:00.053703
xyguassian,sym,0.3,rai,causal,0:00:01.242886
xyguassian,sym,0.3,pc,anticausal,0:00:09.624722
xyguassian,sym,0.3,ges,anticausal,0:00:03.455842
xyguassian,sym,0.3,lingam,unkown,0:00:03.871053
xyguassian,sym,0.3,gies,anticausal,0:00:03.562788
xyguassian,sym,0.3,ccdr,causal,0:00:04.090173
xyguassian,pair,0.3,fci,anticausal,0:00:00.033461
xyguassian,pair,0.3,icd,anticausal,0:00:00.042686
xyguassian,pair,0.3,rai,causal,0:00:01.228455
xyguassian,pair,0.3,pc,anticausal,0:00:09.550821
xyguassian,pair,0.3,ges,anticausal,0:00:03.529721
xyguassian,pair,0.3,lingam,unkown,0:00:04.245430
xyguassian,pair,0.3,gies,anticausal,0:00:03.466602
xyguassian,pair,0.3,ccdr,causal,0:00:03.989625
