Dataset,Noise_Type,Noise_Rate,Method,Causality
iris,instance,0.01,pc,anticausal
iris,instance,0.01,ges,anticausal
iris,instance,0.01,gies,anticausal
iris,instance,0.01,lingam,unkown
iris,pair,0.01,pc,anticausal
iris,pair,0.01,ges,anticausal
iris,pair,0.01,gies,anticausal
iris,pair,0.01,lingam,unkown
iris,sym,0.01,pc,anticausal
iris,sym,0.01,ges,anticausal
iris,sym,0.01,gies,anticausal
iris,sym,0.01,lingam,unkown
iris,instance,0.2,pc,anticausal
iris,instance,0.2,ges,causal
iris,instance,0.2,gies,causal
iris,instance,0.2,lingam,unkown
iris,pair,0.2,pc,unkown
iris,pair,0.2,ges,causal
iris,pair,0.2,gies,causal
iris,pair,0.2,lingam,unkown
iris,sym,0.2,pc,causal
iris,sym,0.2,ges,causal
iris,sym,0.2,gies,causal
iris,sym,0.2,lingam,unkown
iris,instance,0.4,pc,unkown
iris,instance,0.4,ges,causal
iris,instance,0.4,gies,causal
iris,instance,0.4,lingam,unkown
iris,pair,0.4,pc,anticausal
iris,pair,0.4,ges,causal
iris,pair,0.4,gies,causal
iris,pair,0.4,lingam,unkown
iris,sym,0.4,pc,unkown
iris,sym,0.4,ges,causal
iris,sym,0.4,gies,causal
iris,sym,0.4,lingam,unkown
krkp,instance,0.01,pc,anticausal
krkp,instance,0.01,ges,anticausal
krkp,instance,0.01,gies,anticausal
krkp,instance,0.01,lingam,unkown
krkp,pair,0.01,pc,causal
krkp,pair,0.01,ges,anticausal
krkp,pair,0.01,gies,anticausal
krkp,pair,0.01,lingam,unkown
krkp,sym,0.01,pc,causal
krkp,sym,0.01,ges,anticausal
krkp,sym,0.01,gies,anticausal
krkp,sym,0.01,lingam,unkown
krkp,instance,0.2,pc,anticausal
krkp,instance,0.2,ges,anticausal
krkp,instance,0.2,gies,anticausal
krkp,instance,0.2,lingam,unkown
krkp,pair,0.2,pc,anticausal
krkp,pair,0.2,ges,anticausal
krkp,pair,0.2,gies,anticausal
krkp,pair,0.2,lingam,unkown
krkp,sym,0.2,pc,anticausal
krkp,sym,0.2,ges,anticausal
krkp,sym,0.2,gies,anticausal
krkp,sym,0.2,lingam,unkown
krkp,instance,0.4,pc,anticausal
krkp,instance,0.4,ges,causal
krkp,instance,0.4,gies,causal
krkp,instance,0.4,lingam,unkown
krkp,pair,0.4,pc,anticausal
krkp,pair,0.4,ges,anticausal
krkp,pair,0.4,gies,anticausal
krkp,pair,0.4,lingam,unkown
krkp,sym,0.4,pc,anticausal
krkp,sym,0.4,ges,anticausal
krkp,sym,0.4,gies,anticausal
krkp,sym,0.4,lingam,unkown
mushroom,instance,0.01,pc,causal
mushroom,instance,0.01,ges,anticausal
mushroom,instance,0.01,gies,anticausal
mushroom,pair,0.01,pc,causal
mushroom,pair,0.01,ges,anticausal
mushroom,pair,0.01,gies,anticausal
mushroom,sym,0.01,pc,causal
mushroom,sym,0.01,ges,anticausal
mushroom,sym,0.01,gies,anticausal
mushroom,instance,0.2,pc,anticausal
mushroom,instance,0.2,ges,anticausal
mushroom,instance,0.2,gies,anticausal
mushroom,pair,0.2,pc,anticausal
mushroom,pair,0.2,ges,anticausal
mushroom,pair,0.2,gies,anticausal
mushroom,sym,0.2,pc,anticausal
mushroom,sym,0.2,ges,anticausal
mushroom,sym,0.2,gies,anticausal
mushroom,instance,0.4,pc,unkown
mushroom,instance,0.4,ges,anticausal
mushroom,instance,0.4,gies,anticausal
mushroom,pair,0.4,pc,anticausal
mushroom,pair,0.4,ges,anticausal
mushroom,pair,0.4,gies,anticausal
mushroom,sym,0.4,pc,anticausal
mushroom,sym,0.4,ges,anticausal
mushroom,sym,0.4,gies,anticausal
splice,instance,0.01,pc,anticausal
splice,instance,0.01,ges,anticausal
splice,instance,0.01,gies,anticausal
splice,instance,0.01,lingam,unkown
splice,pair,0.01,pc,anticausal
splice,pair,0.01,ges,anticausal
splice,pair,0.01,gies,anticausal
splice,pair,0.01,lingam,unkown
splice,sym,0.01,pc,anticausal
splice,sym,0.01,ges,anticausal
splice,sym,0.01,gies,anticausal
splice,sym,0.01,lingam,unkown
splice,instance,0.2,pc,anticausal
splice,instance,0.2,ges,anticausal
splice,instance,0.2,gies,anticausal
splice,instance,0.2,lingam,unkown
splice,pair,0.2,pc,anticausal
splice,pair,0.2,ges,anticausal
splice,pair,0.2,gies,anticausal
splice,pair,0.2,lingam,unkown
splice,sym,0.2,pc,anticausal
splice,sym,0.2,ges,anticausal
splice,sym,0.2,gies,anticausal
splice,sym,0.2,lingam,unkown
splice,instance,0.4,pc,anticausal
splice,instance,0.4,ges,anticausal
splice,instance,0.4,gies,anticausal
splice,instance,0.4,lingam,unkown
splice,pair,0.4,pc,anticausal
splice,pair,0.4,ges,anticausal
splice,pair,0.4,gies,anticausal
splice,pair,0.4,lingam,unkown
splice,sym,0.4,pc,anticausal
splice,sym,0.4,ges,anticausal
splice,sym,0.4,gies,anticausal
splice,sym,0.4,lingam,unkown
waveform,instance,0.01,pc,anticausal
waveform,instance,0.01,ges,causal
waveform,instance,0.01,gies,causal
waveform,instance,0.01,lingam,unkown
waveform,pair,0.01,pc,anticausal
waveform,pair,0.01,ges,anticausal
waveform,pair,0.01,gies,anticausal
waveform,pair,0.01,lingam,unkown
waveform,sym,0.01,pc,anticausal
waveform,sym,0.01,ges,anticausal
waveform,sym,0.01,gies,anticausal
waveform,sym,0.01,lingam,unkown
waveform,instance,0.2,pc,anticausal
waveform,instance,0.2,ges,causal
waveform,instance,0.2,gies,causal
waveform,instance,0.2,lingam,unkown
waveform,pair,0.2,pc,anticausal
waveform,pair,0.2,ges,causal
waveform,pair,0.2,gies,causal
waveform,pair,0.2,lingam,unkown
waveform,sym,0.2,pc,anticausal
waveform,sym,0.2,ges,anticausal
waveform,sym,0.2,gies,anticausal
waveform,sym,0.2,lingam,unkown
waveform,instance,0.4,pc,anticausal
waveform,instance,0.4,ges,causal
waveform,instance,0.4,gies,causal
waveform,instance,0.4,lingam,unkown
waveform,pair,0.4,pc,anticausal
waveform,pair,0.4,ges,causal
waveform,pair,0.4,gies,causal
waveform,pair,0.4,lingam,unkown
waveform,sym,0.4,pc,anticausal
waveform,sym,0.4,ges,causal
waveform,sym,0.4,gies,causal
waveform,sym,0.4,lingam,unkown
secstr,instance,0.01,pc,anticausal
secstr,instance,0.01,ges,anticausal
secstr,instance,0.01,gies,anticausal
secstr,instance,0.01,lingam,unkown
secstr,pair,0.01,pc,anticausal
secstr,pair,0.01,ges,anticausal
secstr,pair,0.01,gies,anticausal
secstr,pair,0.01,lingam,unkown
secstr,sym,0.01,pc,anticausal
secstr,sym,0.01,ges,anticausal
secstr,sym,0.01,gies,anticausal
secstr,sym,0.01,lingam,unkown
secstr,instance,0.2,pc,anticausal
secstr,instance,0.2,ges,causal
secstr,instance,0.2,gies,causal
secstr,instance,0.2,lingam,unkown
secstr,pair,0.2,pc,anticausal
secstr,pair,0.2,ges,anticausal
secstr,pair,0.2,gies,anticausal
secstr,pair,0.2,lingam,unkown
secstr,sym,0.2,pc,anticausal
secstr,sym,0.2,ges,anticausal
secstr,sym,0.2,gies,anticausal
secstr,sym,0.2,lingam,unkown
secstr,instance,0.4,pc,anticausal
secstr,instance,0.4,ges,anticausal
secstr,instance,0.4,gies,anticausal
secstr,instance,0.4,lingam,unkown
secstr,pair,0.4,pc,anticausal
secstr,pair,0.4,ges,causal
secstr,pair,0.4,gies,causal
secstr,pair,0.4,lingam,unkown
secstr,sym,0.4,pc,anticausal
secstr,sym,0.4,ges,causal
secstr,sym,0.4,gies,causal
secstr,sym,0.4,lingam,unkown
letter,instance,0.01,pc,anticausal
letter,instance,0.01,ges,anticausal
letter,instance,0.01,gies,anticausal
letter,instance,0.01,lingam,unkown
letter,instance,0.01,cam,anticausal
letter,pair,0.01,pc,causal
letter,pair,0.01,ges,anticausal
letter,pair,0.01,gies,anticausal
letter,pair,0.01,lingam,unkown
letter,pair,0.01,cam,anticausal
letter,sym,0.01,pc,anticausal
letter,sym,0.01,ges,anticausal
letter,sym,0.01,gies,anticausal
letter,sym,0.01,lingam,unkown
letter,sym,0.01,cam,anticausal
letter,instance,0.2,pc,anticausal
letter,instance,0.2,ges,anticausal
letter,instance,0.2,gies,anticausal
letter,instance,0.2,lingam,unkown
letter,instance,0.2,cam,anticausal
letter,pair,0.2,pc,anticausal
letter,pair,0.2,ges,anticausal
letter,pair,0.2,gies,anticausal
letter,pair,0.2,lingam,unkown
letter,pair,0.2,cam,anticausal
letter,sym,0.2,pc,anticausal
letter,sym,0.2,ges,anticausal
letter,sym,0.2,gies,anticausal
letter,sym,0.2,lingam,unkown
letter,sym,0.2,cam,anticausal
letter,instance,0.4,pc,anticausal
letter,instance,0.4,ges,anticausal
letter,instance,0.4,gies,anticausal
letter,instance,0.4,lingam,unkown
letter,instance,0.4,cam,anticausal
letter,pair,0.4,pc,causal
letter,pair,0.4,ges,anticausal
letter,pair,0.4,gies,anticausal
letter,pair,0.4,lingam,unkown
letter,pair,0.4,cam,anticausal
letter,sym,0.4,pc,anticausal
letter,sym,0.4,ges,anticausal
letter,sym,0.4,gies,anticausal
letter,sym,0.4,lingam,unkown
letter,sym,0.4,cam,anticausal
segment,instance,0.01,pc,anticausal
segment,instance,0.01,ges,anticausal
segment,instance,0.01,gies,anticausal
segment,pair,0.01,pc,anticausal
segment,pair,0.01,ges,anticausal
segment,pair,0.01,gies,anticausal
segment,instance,0.2,pc,anticausal
segment,instance,0.2,ges,anticausal
segment,instance,0.2,gies,anticausal
segment,pair,0.2,pc,anticausal
segment,pair,0.2,ges,anticausal
segment,pair,0.2,gies,anticausal
segment,sym,0.2,pc,anticausal
segment,sym,0.2,ges,anticausal
segment,sym,0.2,gies,anticausal
segment,instance,0.4,pc,anticausal
segment,instance,0.4,ges,anticausal
segment,instance,0.4,gies,anticausal
segment,pair,0.4,pc,anticausal
segment,pair,0.4,ges,anticausal
segment,pair,0.4,gies,anticausal
segment,sym,0.4,pc,anticausal
segment,sym,0.4,ges,anticausal
segment,sym,0.4,gies,anticausal
breastcancer,instance,0.01,pc,anticausal
breastcancer,instance,0.01,ges,anticausal
breastcancer,instance,0.01,gies,anticausal
breastcancer,instance,0.01,lingam,unkown
breastcancer,pair,0.01,pc,anticausal
breastcancer,pair,0.01,ges,anticausal
breastcancer,pair,0.01,gies,anticausal
breastcancer,pair,0.01,lingam,unkown
breastcancer,sym,0.01,pc,anticausal
breastcancer,sym,0.01,ges,anticausal
breastcancer,sym,0.01,gies,anticausal
breastcancer,sym,0.01,lingam,unkown
breastcancer,instance,0.2,pc,anticausal
breastcancer,instance,0.2,ges,anticausal
breastcancer,instance,0.2,gies,anticausal
breastcancer,instance,0.2,lingam,unkown
breastcancer,pair,0.2,pc,anticausal
breastcancer,pair,0.2,ges,anticausal
breastcancer,pair,0.2,gies,anticausal
breastcancer,pair,0.2,lingam,unkown
breastcancer,sym,0.2,pc,anticausal
breastcancer,sym,0.2,ges,anticausal
breastcancer,sym,0.2,gies,anticausal
breastcancer,sym,0.2,lingam,unkown
breastcancer,instance,0.4,pc,unkown
breastcancer,instance,0.4,ges,unkown
breastcancer,instance,0.4,gies,unkown
breastcancer,instance,0.4,lingam,unkown
breastcancer,pair,0.4,pc,unkown
breastcancer,pair,0.4,ges,anticausal
breastcancer,pair,0.4,gies,anticausal
breastcancer,pair,0.4,lingam,unkown
breastcancer,sym,0.4,pc,unkown
breastcancer,sym,0.4,ges,anticausal
breastcancer,sym,0.4,gies,anticausal
breastcancer,sym,0.4,lingam,unkown
g241c,instance,0.01,pc,anticausal
g241c,instance,0.01,ges,anticausal
g241c,instance,0.01,gies,anticausal
g241c,instance,0.01,lingam,unkown
g241c,pair,0.01,pc,anticausal
g241c,pair,0.01,ges,anticausal
g241c,pair,0.01,gies,anticausal
g241c,pair,0.01,lingam,unkown
g241c,sym,0.01,pc,anticausal
g241c,sym,0.01,ges,anticausal
g241c,sym,0.01,gies,anticausal
g241c,sym,0.01,lingam,unkown
g241c,instance,0.2,pc,unkown
g241c,instance,0.2,ges,anticausal
g241c,instance,0.2,gies,anticausal
g241c,instance,0.2,lingam,unkown
g241c,pair,0.2,pc,anticausal
g241c,pair,0.2,ges,anticausal
g241c,pair,0.2,gies,anticausal
g241c,pair,0.2,lingam,unkown
g241c,sym,0.2,pc,anticausal
g241c,sym,0.2,ges,causal
g241c,sym,0.2,gies,causal
