noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.1,0.25585,yxguassian,instance,0,0.1,1
0.2,0.2995,yxguassian,instance,0,0.1,1
0.3,0.3489,yxguassian,instance,0,0.1,1
0.4,0.3986,yxguassian,instance,0,0.1,1
0.5,0.50215,yxguassian,instance,0,0.1,1
0.6,0.6014,yxguassian,instance,0,0.1,1
0.7,0.6511,yxguassian,instance,0,0.1,1
0.8,0.7005,yxguassian,instance,0,0.1,1
0.9,0.74415,yxguassian,instance,0,0.1,1
0.1,0.2992,yxguassian,instance,0,0.2,1
0.2,0.32755,yxguassian,instance,0,0.2,1
0.3,0.36215,yxguassian,instance,0,0.2,1
0.4,0.39745,yxguassian,instance,0,0.2,1
0.5,0.50215,yxguassian,instance,0,0.2,1
0.6,0.60255,yxguassian,instance,0,0.2,1
0.7,0.63785,yxguassian,instance,0,0.2,1
0.8,0.67245,yxguassian,instance,0,0.2,1
0.9,0.7008,yxguassian,instance,0,0.2,1
0.1,0.3521,yxguassian,instance,0,0.3,1
0.2,0.36755,yxguassian,instance,0,0.3,1
0.3,0.38675,yxguassian,instance,0,0.3,1
0.4,0.41015,yxguassian,instance,0,0.3,1
0.5,0.50215,yxguassian,instance,0,0.3,1
0.6,0.58985,yxguassian,instance,0,0.3,1
0.7,0.61325,yxguassian,instance,0,0.3,1
0.8,0.63245,yxguassian,instance,0,0.3,1
0.9,0.6479,yxguassian,instance,0,0.3,1
0.1,0.4098,yxguassian,instance,0,0.4,1
0.2,0.41255,yxguassian,instance,0,0.4,1
0.3,0.41805,yxguassian,instance,0,0.4,1
0.4,0.42605,yxguassian,instance,0,0.4,1
0.5,0.50215,yxguassian,instance,0,0.4,1
0.6,0.57395,yxguassian,instance,0,0.4,1
0.7,0.58195,yxguassian,instance,0,0.4,1
0.8,0.58745,yxguassian,instance,0,0.4,1
0.9,0.5902,yxguassian,instance,0,0.4,1
0.1,0.4696,yxguassian,instance,0,0.5,1
0.2,0.45825,yxguassian,instance,0,0.5,1
0.3,0.44695,yxguassian,instance,0,0.5,1
0.4,0.43995,yxguassian,instance,0,0.5,1
0.5,0.50215,yxguassian,instance,0,0.5,1
0.6,0.56005,yxguassian,instance,0,0.5,1
0.7,0.55305,yxguassian,instance,0,0.5,1
0.8,0.54175,yxguassian,instance,0,0.5,1
0.9,0.5304,yxguassian,instance,0,0.5,1
0.1,0.52985,yxguassian,instance,0,0.6,1
0.2,0.5037,yxguassian,instance,0,0.6,1
0.3,0.4757,yxguassian,instance,0,0.6,1
0.4,0.4548,yxguassian,instance,0,0.6,1
0.5,0.50215,yxguassian,instance,0,0.6,1
0.6,0.5452,yxguassian,instance,0,0.6,1
0.7,0.5243,yxguassian,instance,0,0.6,1
0.8,0.4963,yxguassian,instance,0,0.6,1
0.9,0.47015,yxguassian,instance,0,0.6,1
0.1,0.5906,yxguassian,instance,0,0.7,1
0.2,0.54795,yxguassian,instance,0,0.7,1
0.3,0.50585,yxguassian,instance,0,0.7,1
0.4,0.47135,yxguassian,instance,0,0.7,1
0.5,0.50215,yxguassian,instance,0,0.7,1
0.6,0.52865,yxguassian,instance,0,0.7,1
0.7,0.49415,yxguassian,instance,0,0.7,1
0.8,0.45205,yxguassian,instance,0,0.7,1
0.9,0.4094,yxguassian,instance,0,0.7,1
0.1,0.6498,yxguassian,instance,0,0.8,1
0.2,0.59305,yxguassian,instance,0,0.8,1
0.3,0.53765,yxguassian,instance,0,0.8,1
0.4,0.48725,yxguassian,instance,0,0.8,1
0.5,0.50215,yxguassian,instance,0,0.8,1
0.6,0.51275,yxguassian,instance,0,0.8,1
0.7,0.46235,yxguassian,instance,0,0.8,1
0.8,0.40695,yxguassian,instance,0,0.8,1
0.9,0.3502,yxguassian,instance,0,0.8,1
0.1,0.70275,yxguassian,instance,0,0.9,1
0.2,0.6364,yxguassian,instance,0,0.9,1
0.3,0.5712,yxguassian,instance,0,0.9,1
0.4,0.5097,yxguassian,instance,0,0.9,1
0.5,0.50215,yxguassian,instance,0,0.9,1
0.6,0.4903,yxguassian,instance,0,0.9,1
0.7,0.4288,yxguassian,instance,0,0.9,1
0.8,0.3636,yxguassian,instance,0,0.9,1
0.9,0.29725,yxguassian,instance,0,0.9,1
0.1,0.25655,yxguassian,instance,0,0.1,2
0.2,0.30055,yxguassian,instance,0,0.1,2
0.3,0.3469,yxguassian,instance,0,0.1,2
0.4,0.39475,yxguassian,instance,0,0.1,2
0.5,0.509,yxguassian,instance,0,0.1,2
0.6,0.60525,yxguassian,instance,0,0.1,2
0.7,0.6531,yxguassian,instance,0,0.1,2
0.8,0.69945,yxguassian,instance,0,0.1,2
0.9,0.74345,yxguassian,instance,0,0.1,2
0.1,0.30155,yxguassian,instance,0,0.2,2
0.2,0.33135,yxguassian,instance,0,0.2,2
0.3,0.3644,yxguassian,instance,0,0.2,2
0.4,0.39995,yxguassian,instance,0,0.2,2
0.5,0.509,yxguassian,instance,0,0.2,2
0.6,0.60005,yxguassian,instance,0,0.2,2
0.7,0.6356,yxguassian,instance,0,0.2,2
0.8,0.66865,yxguassian,instance,0,0.2,2
0.9,0.69845,yxguassian,instance,0,0.2,2
0.1,0.3561,yxguassian,instance,0,0.3,2
0.2,0.3701,yxguassian,instance,0,0.3,2
0.3,0.38875,yxguassian,instance,0,0.3,2
0.4,0.4104,yxguassian,instance,0,0.3,2
0.5,0.509,yxguassian,instance,0,0.3,2
0.6,0.5896,yxguassian,instance,0,0.3,2
0.7,0.61125,yxguassian,instance,0,0.3,2
0.8,0.6299,yxguassian,instance,0,0.3,2
0.9,0.6439,yxguassian,instance,0,0.3,2
0.1,0.41685,yxguassian,instance,0,0.4,2
0.2,0.41745,yxguassian,instance,0,0.4,2
0.3,0.4229,yxguassian,instance,0,0.4,2
0.4,0.42985,yxguassian,instance,0,0.4,2
0.5,0.509,yxguassian,instance,0,0.4,2
0.6,0.57015,yxguassian,instance,0,0.4,2
0.7,0.5771,yxguassian,instance,0,0.4,2
0.8,0.58255,yxguassian,instance,0,0.4,2
0.9,0.58315,yxguassian,instance,0,0.4,2
0.1,0.4743,yxguassian,instance,0,0.5,2
0.2,0.4597,yxguassian,instance,0,0.5,2
0.3,0.45145,yxguassian,instance,0,0.5,2
0.4,0.4448,yxguassian,instance,0,0.5,2
0.5,0.509,yxguassian,instance,0,0.5,2
0.6,0.5552,yxguassian,instance,0,0.5,2
0.7,0.54855,yxguassian,instance,0,0.5,2
0.8,0.5403,yxguassian,instance,0,0.5,2
0.9,0.5257,yxguassian,instance,0,0.5,2
0.1,0.5341,yxguassian,instance,0,0.6,2
0.2,0.5049,yxguassian,instance,0,0.6,2
0.3,0.48015,yxguassian,instance,0,0.6,2
0.4,0.4588,yxguassian,instance,0,0.6,2
0.5,0.509,yxguassian,instance,0,0.6,2
0.6,0.5412,yxguassian,instance,0,0.6,2
0.7,0.51985,yxguassian,instance,0,0.6,2
0.8,0.4951,yxguassian,instance,0,0.6,2
0.9,0.4659,yxguassian,instance,0,0.6,2
0.1,0.591,yxguassian,instance,0,0.7,2
0.2,0.5454,yxguassian,instance,0,0.7,2
0.3,0.50615,yxguassian,instance,0,0.7,2
0.4,0.4692,yxguassian,instance,0,0.7,2
0.5,0.509,yxguassian,instance,0,0.7,2
0.6,0.5308,yxguassian,instance,0,0.7,2
0.7,0.49385,yxguassian,instance,0,0.7,2
0.8,0.4546,yxguassian,instance,0,0.7,2
0.9,0.409,yxguassian,instance,0,0.7,2
0.1,0.6498,yxguassian,instance,0,0.8,2
0.2,0.5914,yxguassian,instance,0,0.8,2
0.3,0.53795,yxguassian,instance,0,0.8,2
0.4,0.488,yxguassian,instance,0,0.8,2
0.5,0.509,yxguassian,instance,0,0.8,2
0.6,0.512,yxguassian,instance,0,0.8,2
0.7,0.46205,yxguassian,instance,0,0.8,2
0.8,0.4086,yxguassian,instance,0,0.8,2
0.9,0.3502,yxguassian,instance,0,0.8,2
0.1,0.70105,yxguassian,instance,0,0.9,2
0.2,0.63315,yxguassian,instance,0,0.9,2
0.3,0.5696,yxguassian,instance,0,0.9,2
0.4,0.50895,yxguassian,instance,0,0.9,2
0.5,0.509,yxguassian,instance,0,0.9,2
0.6,0.49105,yxguassian,instance,0,0.9,2
0.7,0.4304,yxguassian,instance,0,0.9,2
0.8,0.36685,yxguassian,instance,0,0.9,2
0.9,0.29895,yxguassian,instance,0,0.9,2
0.1,0.25645,yxguassian,instance,0,0.1,3
0.2,0.2986,yxguassian,instance,0,0.1,3
0.3,0.3485,yxguassian,instance,0,0.1,3
0.4,0.4005,yxguassian,instance,0,0.1,3
0.5,0.50145,yxguassian,instance,0,0.1,3
0.6,0.5995,yxguassian,instance,0,0.1,3
0.7,0.6515,yxguassian,instance,0,0.1,3
0.8,0.7014,yxguassian,instance,0,0.1,3
0.9,0.74355,yxguassian,instance,0,0.1,3
0.1,0.2983,yxguassian,instance,0,0.2,3
0.2,0.32685,yxguassian,instance,0,0.2,3
0.3,0.36265,yxguassian,instance,0,0.2,3
0.4,0.40415,yxguassian,instance,0,0.2,3
0.5,0.50145,yxguassian,instance,0,0.2,3
0.6,0.59585,yxguassian,instance,0,0.2,3
0.7,0.63735,yxguassian,instance,0,0.2,3
0.8,0.67315,yxguassian,instance,0,0.2,3
0.9,0.7017,yxguassian,instance,0,0.2,3
0.1,0.35465,yxguassian,instance,0,0.3,3
0.2,0.3679,yxguassian,instance,0,0.3,3
0.3,0.3894,yxguassian,instance,0,0.3,3
0.4,0.415,yxguassian,instance,0,0.3,3
0.5,0.50145,yxguassian,instance,0,0.3,3
0.6,0.585,yxguassian,instance,0,0.3,3
0.7,0.6106,yxguassian,instance,0,0.3,3
0.8,0.6321,yxguassian,instance,0,0.3,3
0.9,0.64535,yxguassian,instance,0,0.3,3
0.1,0.4159,yxguassian,instance,0,0.4,3
0.2,0.41385,yxguassian,instance,0,0.4,3
0.3,0.42085,yxguassian,instance,0,0.4,3
0.4,0.43165,yxguassian,instance,0,0.4,3
0.5,0.50145,yxguassian,instance,0,0.4,3
0.6,0.56835,yxguassian,instance,0,0.4,3
0.7,0.57915,yxguassian,instance,0,0.4,3
0.8,0.58615,yxguassian,instance,0,0.4,3
0.9,0.5841,yxguassian,instance,0,0.4,3
0.1,0.4771,yxguassian,instance,0,0.5,3
0.2,0.46055,yxguassian,instance,0,0.5,3
0.3,0.45065,yxguassian,instance,0,0.5,3
0.4,0.44675,yxguassian,instance,0,0.5,3
0.5,0.50145,yxguassian,instance,0,0.5,3
0.6,0.55325,yxguassian,instance,0,0.5,3
0.7,0.54935,yxguassian,instance,0,0.5,3
0.8,0.53945,yxguassian,instance,0,0.5,3
0.9,0.5229,yxguassian,instance,0,0.5,3
0.1,0.53215,yxguassian,instance,0,0.6,3
0.2,0.5017,yxguassian,instance,0,0.6,3
0.3,0.4781,yxguassian,instance,0,0.6,3
0.4,0.459,yxguassian,instance,0,0.6,3
0.5,0.50145,yxguassian,instance,0,0.6,3
0.6,0.541,yxguassian,instance,0,0.6,3
0.7,0.5219,yxguassian,instance,0,0.6,3
0.8,0.4983,yxguassian,instance,0,0.6,3
0.9,0.46785,yxguassian,instance,0,0.6,3
0.1,0.59485,yxguassian,instance,0,0.7,3
0.2,0.549,yxguassian,instance,0,0.7,3
0.3,0.5109,yxguassian,instance,0,0.7,3
0.4,0.4761,yxguassian,instance,0,0.7,3
0.5,0.50145,yxguassian,instance,0,0.7,3
0.6,0.5239,yxguassian,instance,0,0.7,3
0.7,0.4891,yxguassian,instance,0,0.7,3
0.8,0.451,yxguassian,instance,0,0.7,3
0.9,0.40515,yxguassian,instance,0,0.7,3
0.1,0.65445,yxguassian,instance,0,0.8,3
0.2,0.5966,yxguassian,instance,0,0.8,3
0.3,0.5416,yxguassian,instance,0,0.8,3
0.4,0.4921,yxguassian,instance,0,0.8,3
0.5,0.50145,yxguassian,instance,0,0.8,3
0.6,0.5079,yxguassian,instance,0,0.8,3
0.7,0.4584,yxguassian,instance,0,0.8,3
0.8,0.4034,yxguassian,instance,0,0.8,3
0.9,0.34555,yxguassian,instance,0,0.8,3
0.1,0.70665,yxguassian,instance,0,0.9,3
0.2,0.6416,yxguassian,instance,0,0.9,3
0.3,0.5757,yxguassian,instance,0,0.9,3
0.4,0.5137,yxguassian,instance,0,0.9,3
0.5,0.50145,yxguassian,instance,0,0.9,3
0.6,0.4863,yxguassian,instance,0,0.9,3
0.7,0.4243,yxguassian,instance,0,0.9,3
0.8,0.3584,yxguassian,instance,0,0.9,3
0.9,0.29335,yxguassian,instance,0,0.9,3
0.1,0.12945,yxguassian,pair,0,0.1,1
0.2,0.2029,yxguassian,pair,0,0.1,1
0.3,0.2787,yxguassian,pair,0,0.1,1
0.4,0.3517,yxguassian,pair,0,0.1,1
0.5,0.50225,yxguassian,pair,0,0.1,1
0.6,0.6483,yxguassian,pair,0,0.1,1
0.7,0.7213,yxguassian,pair,0,0.1,1
0.8,0.7971,yxguassian,pair,0,0.1,1
0.9,0.87055,yxguassian,pair,0,0.1,1
0.1,0.2029,yxguassian,pair,0,0.2,1
0.2,0.12945,yxguassian,pair,0,0.2,1
0.3,0.20525,yxguassian,pair,0,0.2,1
0.4,0.27825,yxguassian,pair,0,0.2,1
0.5,0.50225,yxguassian,pair,0,0.2,1
0.6,0.72175,yxguassian,pair,0,0.2,1
0.7,0.79475,yxguassian,pair,0,0.2,1
0.8,0.87055,yxguassian,pair,0,0.2,1
0.9,0.7971,yxguassian,pair,0,0.2,1
0.1,0.2787,yxguassian,pair,0,0.3,1
0.2,0.20525,yxguassian,pair,0,0.3,1
0.3,0.12945,yxguassian,pair,0,0.3,1
0.4,0.20245,yxguassian,pair,0,0.3,1
0.5,0.50225,yxguassian,pair,0,0.3,1
0.6,0.79755,yxguassian,pair,0,0.3,1
0.7,0.87055,yxguassian,pair,0,0.3,1
0.8,0.79475,yxguassian,pair,0,0.3,1
0.9,0.7213,yxguassian,pair,0,0.3,1
0.1,0.3517,yxguassian,pair,0,0.4,1
0.2,0.27825,yxguassian,pair,0,0.4,1
0.3,0.20245,yxguassian,pair,0,0.4,1
0.4,0.12945,yxguassian,pair,0,0.4,1
0.5,0.50225,yxguassian,pair,0,0.4,1
0.6,0.87055,yxguassian,pair,0,0.4,1
0.7,0.79755,yxguassian,pair,0,0.4,1
0.8,0.72175,yxguassian,pair,0,0.4,1
0.9,0.6483,yxguassian,pair,0,0.4,1
0.1,0.6483,yxguassian,pair,0,0.6,1
0.2,0.72175,yxguassian,pair,0,0.6,1
0.3,0.79755,yxguassian,pair,0,0.6,1
0.4,0.87055,yxguassian,pair,0,0.6,1
0.5,0.50225,yxguassian,pair,0,0.6,1
0.6,0.12945,yxguassian,pair,0,0.6,1
0.7,0.20245,yxguassian,pair,0,0.6,1
0.8,0.27825,yxguassian,pair,0,0.6,1
0.9,0.3517,yxguassian,pair,0,0.6,1
0.1,0.7213,yxguassian,pair,0,0.7,1
0.2,0.79475,yxguassian,pair,0,0.7,1
0.3,0.87055,yxguassian,pair,0,0.7,1
0.4,0.79755,yxguassian,pair,0,0.7,1
0.5,0.50225,yxguassian,pair,0,0.7,1
0.6,0.20245,yxguassian,pair,0,0.7,1
0.7,0.12945,yxguassian,pair,0,0.7,1
0.8,0.20525,yxguassian,pair,0,0.7,1
0.9,0.2787,yxguassian,pair,0,0.7,1
0.1,0.7971,yxguassian,pair,0,0.8,1
0.2,0.87055,yxguassian,pair,0,0.8,1
0.3,0.79475,yxguassian,pair,0,0.8,1
0.4,0.72175,yxguassian,pair,0,0.8,1
0.5,0.50225,yxguassian,pair,0,0.8,1
0.6,0.27825,yxguassian,pair,0,0.8,1
0.7,0.20525,yxguassian,pair,0,0.8,1
0.8,0.12945,yxguassian,pair,0,0.8,1
0.9,0.2029,yxguassian,pair,0,0.8,1
0.1,0.87055,yxguassian,pair,0,0.9,1
0.2,0.7971,yxguassian,pair,0,0.9,1
0.3,0.7213,yxguassian,pair,0,0.9,1
0.4,0.6483,yxguassian,pair,0,0.9,1
0.5,0.50225,yxguassian,pair,0,0.9,1
0.6,0.3517,yxguassian,pair,0,0.9,1
0.7,0.2787,yxguassian,pair,0,0.9,1
0.8,0.2029,yxguassian,pair,0,0.9,1
0.9,0.12945,yxguassian,pair,0,0.9,1
0.1,0.1296,yxguassian,pair,0,0.1,2
0.2,0.2045,yxguassian,pair,0,0.1,2
0.3,0.27895,yxguassian,pair,0,0.1,2
0.4,0.3532,yxguassian,pair,0,0.1,2
