noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.497339593,0.010622624
instance,0.01,0.2,0.497887324,0.006654468
instance,0.01,0.3,0.497339593,0.009879782
instance,0.01,0.4,0.500782473,0.010621183
instance,0.01,0.5,0.491627543,0.014020787
instance,0.01,0.6,0.499217527,0.010621183
instance,0.01,0.7,0.502660407,0.009879782
instance,0.01,0.8,0.502112676,0.006654468
instance,0.01,0.9,0.502660407,0.010622624
instance,0.2,0.1,0.49600939,0.011296504
instance,0.2,0.2,0.498748044,0.010244864
instance,0.2,0.3,0.497574335,0.009856515
instance,0.2,0.4,0.500391236,0.009523209
instance,0.2,0.5,0.491627543,0.014020787
instance,0.2,0.6,0.499608764,0.009523209
instance,0.2,0.7,0.502425665,0.009856515
instance,0.2,0.8,0.501251956,0.010244864
instance,0.2,0.9,0.50399061,0.011296504
instance,0.4,0.1,0.497965571,0.011063759
instance,0.4,0.2,0.501956182,0.010696575
instance,0.4,0.3,0.502034429,0.010871865
instance,0.4,0.4,0.502190923,0.007353786
instance,0.4,0.5,0.491627543,0.014020787
instance,0.4,0.6,0.497809077,0.007353786
instance,0.4,0.7,0.497965571,0.010871865
instance,0.4,0.8,0.498043818,0.010696575
instance,0.4,0.9,0.502034429,0.011063759
instance,0.6,0.1,0.498826291,0.006916146
instance,0.6,0.2,0.498748044,0.005583862
instance,0.6,0.3,0.496948357,0.002644827
instance,0.6,0.4,0.501486698,0.003230958
instance,0.6,0.5,0.491627543,0.014020787
instance,0.6,0.6,0.498513302,0.003230958
instance,0.6,0.7,0.503051643,0.002644827
instance,0.6,0.8,0.501251956,0.005583862
instance,0.6,0.9,0.501173709,0.006916146
instance,0.8,0.1,0.503755869,0.009355375
instance,0.8,0.2,0.503051643,0.006347199
instance,0.8,0.3,0.50485133,0.01117115
instance,0.8,0.4,0.505633803,0.00999224
instance,0.8,0.5,0.491627543,0.014020787
instance,0.8,0.6,0.494366197,0.00999224
instance,0.8,0.7,0.49514867,0.01117115
instance,0.8,0.8,0.496948357,0.006347199
instance,0.8,0.9,0.496244131,0.009355375
pair,0.01,0.1,0.497809077,0.008209439
pair,0.01,0.2,0.500391236,0.005723294
pair,0.01,0.3,0.499530517,0.010924534
pair,0.01,0.4,0.49827856,0.008484508
pair,0.01,0.5,0.491627543,0.014020787
pair,0.01,0.6,0.50172144,0.008484508
pair,0.01,0.7,0.500469483,0.010924534
pair,0.01,0.8,0.499608764,0.005723294
pair,0.01,0.9,0.502190923,0.008209439
pair,0.2,0.1,0.499061033,0.008915554
pair,0.2,0.2,0.504929577,0.007296321
pair,0.2,0.3,0.500625978,0.006140042
pair,0.2,0.4,0.498904538,0.003159097
pair,0.2,0.5,0.491627543,0.014020787
pair,0.2,0.6,0.501095462,0.003159097
pair,0.2,0.7,0.499374022,0.006140042
pair,0.2,0.8,0.495070423,0.007296321
pair,0.2,0.9,0.500938967,0.008915554
pair,0.4,0.1,0.495539906,0.008058898
pair,0.4,0.2,0.49827856,0.00839382
pair,0.4,0.3,0.495383412,0.007703482
pair,0.4,0.4,0.494600939,0.012756944
pair,0.4,0.5,0.491627543,0.014020787
pair,0.4,0.6,0.505399061,0.012756944
pair,0.4,0.7,0.504616588,0.007703482
pair,0.4,0.8,0.50172144,0.00839382
pair,0.4,0.9,0.504460094,0.008058898
pair,0.6,0.1,0.504460094,0.008058898
pair,0.6,0.2,0.50172144,0.00839382
pair,0.6,0.3,0.504616588,0.007703482
pair,0.6,0.4,0.505399061,0.012756944
pair,0.6,0.5,0.491627543,0.014020787
pair,0.6,0.6,0.494600939,0.012756944
pair,0.6,0.7,0.495383412,0.007703482
pair,0.6,0.8,0.49827856,0.00839382
pair,0.6,0.9,0.495539906,0.008058898
pair,0.8,0.1,0.500938967,0.008915554
pair,0.8,0.2,0.495070423,0.007296321
pair,0.8,0.3,0.499374022,0.006140042
pair,0.8,0.4,0.501095462,0.003159097
pair,0.8,0.5,0.491627543,0.014020787
pair,0.8,0.6,0.498904538,0.003159097
pair,0.8,0.7,0.500625978,0.006140042
pair,0.8,0.8,0.504929577,0.007296321
pair,0.8,0.9,0.499061033,0.008915554
sym,0.01,0.1,0.497809077,0.008209439
sym,0.01,0.2,0.500391236,0.005723294
sym,0.01,0.3,0.499530517,0.010924534
sym,0.01,0.4,0.49827856,0.008484508
sym,0.01,0.5,0.491627543,0.014020787
sym,0.01,0.6,0.50172144,0.008484508
sym,0.01,0.7,0.500469483,0.010924534
sym,0.01,0.8,0.499608764,0.005723294
sym,0.01,0.9,0.502190923,0.008209439
sym,0.2,0.1,0.499061033,0.008915554
sym,0.2,0.2,0.504929577,0.007296321
sym,0.2,0.3,0.500625978,0.006140042
sym,0.2,0.4,0.498904538,0.003159097
sym,0.2,0.5,0.491627543,0.014020787
sym,0.2,0.6,0.501095462,0.003159097
sym,0.2,0.7,0.499374022,0.006140042
sym,0.2,0.8,0.495070423,0.007296321
sym,0.2,0.9,0.500938967,0.008915554
sym,0.4,0.1,0.495539906,0.008058898
sym,0.4,0.2,0.49827856,0.00839382
sym,0.4,0.3,0.495383412,0.007703482
sym,0.4,0.4,0.494600939,0.012756944
sym,0.4,0.5,0.491627543,0.014020787
sym,0.4,0.6,0.505399061,0.012756944
sym,0.4,0.7,0.504616588,0.007703482
sym,0.4,0.8,0.50172144,0.00839382
sym,0.4,0.9,0.504460094,0.008058898
sym,0.6,0.1,0.504460094,0.008058898
sym,0.6,0.2,0.50172144,0.00839382
sym,0.6,0.3,0.504616588,0.007703482
sym,0.6,0.4,0.505399061,0.012756944
sym,0.6,0.5,0.491627543,0.014020787
sym,0.6,0.6,0.494600939,0.012756944
sym,0.6,0.7,0.495383412,0.007703482
sym,0.6,0.8,0.49827856,0.00839382
sym,0.6,0.9,0.495539906,0.008058898
sym,0.8,0.1,0.500938967,0.008915554
sym,0.8,0.2,0.495070423,0.007296321
sym,0.8,0.3,0.499374022,0.006140042
sym,0.8,0.4,0.501095462,0.003159097
sym,0.8,0.5,0.491627543,0.014020787
sym,0.8,0.6,0.498904538,0.003159097
sym,0.8,0.7,0.500625978,0.006140042
sym,0.8,0.8,0.504929577,0.007296321
sym,0.8,0.9,0.499061033,0.008915554