,output,output,output,output,output,output,output,output,output,output
noise_type,instance,instance,instance,instance,pair,pair,pair,sym,sym,sym
initial_noise,0,0.1,0.2,0.3,0.1,0.2,0.3,0.1,0.2,0.3
dataset,,,,,,,,,,
balancescale,\makecell{0.1815\pm0.0112\\ p=1.0} &,\makecell{0.1557\pm0.0112\\ p=0.9994} &,\makecell{0.1311\pm0.0068\\ p=0.9991} &,\makecell{0.1027\pm0.0144\\ p=0.5729} &,\makecell{0.1853\pm0.0124\\ p=0.9999} &,\makecell{0.1879\pm0.0143\\ p=0.9999} &,\makecell{0.1577\pm0.0163\\ p=0.9962} &,\makecell{0.1788\pm0.0082\\ p=1.0} &,\makecell{0.1655\pm0.013\\ p=0.9995} &,\makecell{0.1285\pm0.0111\\ p=0.9832} &
bci,\makecell{0.0585\pm0.0067\\ p=0.0001} &,\makecell{0.0622\pm0.006\\ p=0.0001} &,\makecell{0.0572\pm0.0052\\ p=0.0} &,\makecell{-0.0232\pm0.0176\\ p=0.0012} &,\makecell{0.0695\pm0.0108\\ p=0.0114} &,\makecell{0.0735\pm0.0061\\ p=0.0012} &,\makecell{0.0628\pm0.0072\\ p=0.0004} &,\makecell{0.0695\pm0.0108\\ p=0.0114} &,\makecell{0.0735\pm0.0061\\ p=0.0012} &,\makecell{0.0628\pm0.0072\\ p=0.0004} &
breastcancer,\makecell{-0.0091\pm0.0273\\ p=0.0052} &,\makecell{-0.0035\pm0.0247\\ p=0.0023} &,\makecell{0.0389\pm0.0184\\ p=0.0053} &,\makecell{0.0566\pm0.0076\\ p=0.0002} &,\makecell{0.0133\pm0.0134\\ p=0.0001} &,\makecell{0.0086\pm0.0069\\ p=0.0} &,\makecell{0.0161\pm0.0067\\ p=0.0} &,\makecell{0.0133\pm0.0134\\ p=0.0001} &,\makecell{0.0086\pm0.0069\\ p=0.0} &,\makecell{0.0161\pm0.0067\\ p=0.0} &
cifar10,\makecell{0.8137\pm0.0012\\ p=1.0} &,\makecell{0.7683\pm0.0009\\ p=1.0} &,\makecell{0.6932\pm0.0009\\ p=1.0} &,\makecell{0.5981\pm0.0012\\ p=1.0} &,\makecell{0.7956\pm0.0008\\ p=1.0} &,\makecell{0.6968\pm0.0012\\ p=1.0} &,\makecell{0.5975\pm0.0006\\ p=1.0} &,\makecell{0.7983\pm0.0006\\ p=1.0} &,\makecell{0.6994\pm0.0009\\ p=1.0} &,\makecell{0.598\pm0.0008\\ p=1.0} &
coil,\makecell{0.2055\pm0.005\\ p=1.0} &,\makecell{0.1812\pm0.0052\\ p=1.0} &,\makecell{0.1689\pm0.0055\\ p=1.0} &,\makecell{0.1391\pm0.0059\\ p=0.9999} &,\makecell{0.1819\pm0.0048\\ p=1.0} &,\makecell{0.1624\pm0.003\\ p=1.0} &,\makecell{0.1481\pm0.0032\\ p=1.0} &,\makecell{0.1766\pm0.0036\\ p=1.0} &,\makecell{0.1487\pm0.0051\\ p=1.0} &,\makecell{0.127\pm0.0038\\ p=0.9999} &
coil2,\makecell{0.0376\pm0.0045\\ p=0.0} &,\makecell{0.0313\pm0.0051\\ p=0.0} &,\makecell{0.0287\pm0.0017\\ p=0.0} &,\makecell{0.0301\pm0.0025\\ p=0.0} &,\makecell{0.0234\pm0.0048\\ p=0.0} &,\makecell{0.0063\pm0.0112\\ p=0.0} &,\makecell{-0.001\pm0.0064\\ p=0.0} &,\makecell{0.0234\pm0.0048\\ p=0.0} &,\makecell{0.0063\pm0.0112\\ p=0.0} &,\makecell{-0.001\pm0.0064\\ p=0.0} &
digit1,\makecell{0.6005\pm0.0057\\ p=1.0} &,\makecell{0.5539\pm0.0054\\ p=1.0} &,\makecell{0.4361\pm0.0053\\ p=1.0} &,\makecell{0.2844\pm0.0064\\ p=1.0} &,\makecell{0.5932\pm0.0055\\ p=1.0} &,\makecell{0.4392\pm0.0052\\ p=1.0} &,\makecell{0.2864\pm0.0062\\ p=1.0} &,\makecell{0.5932\pm0.0055\\ p=1.0} &,\makecell{0.4392\pm0.0052\\ p=1.0} &,\makecell{0.2864\pm0.0062\\ p=1.0} &
g241n,\makecell{0.0249\pm0.0052\\ p=0.0} &,\makecell{0.0262\pm0.0046\\ p=0.0} &,\makecell{0.0139\pm0.0058\\ p=0.0} &,\makecell{-0.0029\pm0.0049\\ p=0.0} &,\makecell{0.0011\pm0.0028\\ p=0.0} &,\makecell{0.0055\pm0.0029\\ p=0.0} &,\makecell{0.0139\pm0.0028\\ p=0.0} &,\makecell{0.0011\pm0.0028\\ p=0.0} &,\makecell{0.0055\pm0.0029\\ p=0.0} &,\makecell{0.0139\pm0.0028\\ p=0.0} &
iris,\makecell{0.8004\pm0.0233\\ p=1.0} &,\makecell{0.7338\pm0.0238\\ p=1.0} &,\makecell{0.6264\pm0.0225\\ p=1.0} &,\makecell{0.5284\pm0.0194\\ p=1.0} &,\makecell{0.7351\pm0.0187\\ p=1.0} &,\makecell{0.6076\pm0.01\\ p=1.0} &,\makecell{0.516\pm0.0151\\ p=1.0} &,\makecell{0.7571\pm0.0175\\ p=1.0} &,\makecell{0.6376\pm0.0158\\ p=1.0} &,\makecell{0.5244\pm0.0185\\ p=1.0} &
krkp,\makecell{0.0195\pm0.0042\\ p=0.0} &,\makecell{0.0111\pm0.0069\\ p=0.0} &,\makecell{0.0174\pm0.0062\\ p=0.0} &,\makecell{0.0221\pm0.0063\\ p=0.0} &,\makecell{0.0154\pm0.0032\\ p=0.0} &,\makecell{0.0162\pm0.0021\\ p=0.0} &,\makecell{0.0119\pm0.006\\ p=0.0} &,\makecell{0.0154\pm0.0032\\ p=0.0} &,\makecell{0.0162\pm0.0021\\ p=0.0} &,\makecell{0.0119\pm0.006\\ p=0.0} &
letter,\makecell{0.2038\pm0.0008\\ p=1.0} &,\makecell{0.1927\pm0.001\\ p=1.0} &,\makecell{0.1744\pm0.0012\\ p=1.0} &,\makecell{0.1563\pm0.0009\\ p=1.0} &,\makecell{0.2019\pm0.0008\\ p=1.0} &,\makecell{0.1807\pm0.0009\\ p=1.0} &,\makecell{0.1606\pm0.0007\\ p=1.0} &,\makecell{0.2015\pm0.0011\\ p=1.0} &,\makecell{0.1804\pm0.001\\ p=1.0} &,\makecell{0.1563\pm0.0006\\ p=1.0} &
mushroom,\makecell{0.5732\pm0.0019\\ p=1.0} &,\makecell{0.508\pm0.0026\\ p=1.0} &,\makecell{0.4066\pm0.0044\\ p=1.0} &,\makecell{0.2739\pm0.0036\\ p=1.0} &,\makecell{0.5489\pm0.0014\\ p=1.0} &,\makecell{0.4116\pm0.0014\\ p=1.0} &,\makecell{0.2701\pm0.0032\\ p=1.0} &,\makecell{0.5489\pm0.0014\\ p=1.0} &,\makecell{0.4116\pm0.0014\\ p=1.0} &,\makecell{0.2701\pm0.0032\\ p=1.0} &
secstr,\makecell{0.0362\pm0.0012\\ p=0.0} &,\makecell{0.0343\pm0.0012\\ p=0.0} &,\makecell{0.0293\pm0.001\\ p=0.0} &,\makecell{0.0201\pm0.001\\ p=0.0} &,\makecell{0.0325\pm0.001\\ p=0.0} &,\makecell{0.0264\pm0.0009\\ p=0.0} &,\makecell{0.0176\pm0.001\\ p=0.0} &,\makecell{0.0325\pm0.001\\ p=0.0} &,\makecell{0.0264\pm0.0009\\ p=0.0} &,\makecell{0.0176\pm0.001\\ p=0.0} &
segment,\makecell{0.457\pm0.0193\\ p=1.0} &,\makecell{0.4083\pm0.0159\\ p=1.0} &,\makecell{0.3741\pm0.0083\\ p=1.0} &,\makecell{0.329\pm0.0109\\ p=1.0} &,\makecell{0.4108\pm0.0121\\ p=1.0} &,\makecell{0.3706\pm0.0085\\ p=1.0} &,\makecell{0.3154\pm0.0131\\ p=1.0} &,\makecell{0.4563\pm0.0095\\ p=1.0} &,\makecell{0.3922\pm0.0088\\ p=1.0} &,\makecell{0.3003\pm0.0107\\ p=1.0} &
sonar,\makecell{0.058\pm0.0106\\ p=0.0021} &,\makecell{0.0497\pm0.0132\\ p=0.0026} &,\makecell{0.0413\pm0.0116\\ p=0.0005} &,\makecell{0.092\pm0.0058\\ p=0.1008} &,\makecell{0.0471\pm0.0123\\ p=0.0013} &,\makecell{0.0093\pm0.0135\\ p=0.0001} &,\makecell{0.0446\pm0.0109\\ p=0.0005} &,\makecell{0.0471\pm0.0123\\ p=0.0013} &,\makecell{0.0093\pm0.0135\\ p=0.0001} &,\makecell{0.0446\pm0.0109\\ p=0.0005} &
splice,\makecell{0.0237\pm0.0039\\ p=0.0} &,\makecell{0.0264\pm0.0052\\ p=0.0} &,\makecell{0.0308\pm0.004\\ p=0.0} &,\makecell{0.037\pm0.0062\\ p=0.0} &,\makecell{0.0476\pm0.0026\\ p=0.0} &,\makecell{0.0414\pm0.006\\ p=0.0} &,\makecell{0.0417\pm0.0055\\ p=0.0} &,\makecell{0.0432\pm0.0047\\ p=0.0} &,\makecell{0.051\pm0.0063\\ p=0.0} &,\makecell{0.0304\pm0.0036\\ p=0.0} &
usps,\makecell{0.2826\pm0.0035\\ p=1.0} &,\makecell{0.2414\pm0.0049\\ p=1.0} &,\makecell{0.1905\pm0.0053\\ p=1.0} &,\makecell{0.1168\pm0.0082\\ p=0.9632} &,\makecell{0.2707\pm0.0027\\ p=1.0} &,\makecell{0.1892\pm0.0074\\ p=1.0} &,\makecell{0.1212\pm0.0052\\ p=0.9981} &,\makecell{0.2707\pm0.0027\\ p=1.0} &,\makecell{0.1892\pm0.0074\\ p=1.0} &,\makecell{0.1212\pm0.0052\\ p=0.9981} &
vowel,\makecell{0.0999\pm0.0038\\ p=0.4932} &,\makecell{0.0953\pm0.0033\\ p=0.0978} &,\makecell{0.0918\pm0.0034\\ p=0.0217} &,\makecell{0.0977\pm0.0021\\ p=0.15} &,\makecell{0.1003\pm0.0031\\ p=0.5374} &,\makecell{0.1114\pm0.0052\\ p=0.9704} &,\makecell{0.1065\pm0.005\\ p=0.8855} &,\makecell{0.0976\pm0.005\\ p=0.319} &,\makecell{0.0872\pm0.0035\\ p=0.0032} &,\makecell{0.0931\pm0.0045\\ p=0.0814} &
waveform,\makecell{0.2237\pm0.0049\\ p=1.0} &,\makecell{0.2073\pm0.0038\\ p=1.0} &,\makecell{0.1786\pm0.0034\\ p=1.0} &,\makecell{0.156\pm0.005\\ p=1.0} &,\makecell{0.246\pm0.0036\\ p=1.0} &,\makecell{0.2435\pm0.0022\\ p=1.0} &,\makecell{0.2414\pm0.0032\\ p=1.0} &,\makecell{0.2168\pm0.003\\ p=1.0} &,\makecell{0.1879\pm0.0034\\ p=1.0} &,\makecell{0.1511\pm0.0029\\ p=1.0} &
wdbc,\makecell{0.5415\pm0.0038\\ p=1.0} &,\makecell{0.483\pm0.0049\\ p=1.0} &,\makecell{0.3955\pm0.0054\\ p=1.0} &,\makecell{0.261\pm0.0089\\ p=1.0} &,\makecell{0.5404\pm0.0064\\ p=1.0} &,\makecell{0.3803\pm0.0063\\ p=1.0} &,\makecell{0.2648\pm0.0069\\ p=1.0} &,\makecell{0.5404\pm0.0064\\ p=1.0} &,\makecell{0.3803\pm0.0063\\ p=1.0} &,\makecell{0.2648\pm0.0069\\ p=1.0} &
xyguassian,\makecell{-0.0005\pm0.0015\\ p=0.0} &,\makecell{-0.0047\pm0.0028\\ p=0.0} &,\makecell{-0.0004\pm0.0028\\ p=0.0} &,\makecell{-0.0013\pm0.0023\\ p=0.0} &,\makecell{0.0019\pm0.0019\\ p=0.0} &,\makecell{0.0008\pm0.0008\\ p=0.0} &,\makecell{0.0032\pm0.0007\\ p=0.0} &,\makecell{0.0019\pm0.0019\\ p=0.0} &,\makecell{0.0008\pm0.0008\\ p=0.0} &,\makecell{0.0032\pm0.0007\\ p=0.0} &
yxguassian,\makecell{0.6111\pm0.002\\ p=1.0} &,\makecell{0.5431\pm0.002\\ p=1.0} &,\makecell{0.4323\pm0.0023\\ p=1.0} &,\makecell{0.2934\pm0.0021\\ p=1.0} &,\makecell{0.5895\pm0.0011\\ p=1.0} &,\makecell{0.4425\pm0.0012\\ p=1.0} &,\makecell{0.2925\pm0.0009\\ p=1.0} &,\makecell{0.5894\pm0.0012\\ p=1.0} &,\makecell{0.4425\pm0.0012\\ p=1.0} &,\makecell{0.2924\pm0.0009\\ p=1.0} &